,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
4547,PTN L 2 PL69094 SRW PLBCP30153,BCP30153,7805-0368-00,Multiple Facilities,E2007-0434,Municipal Right of Way,Registered,VAR,2007
4548,PTN L 2 PL69094 SRW PLBCP30153,BCP30153,7805-0368-00,Multiple Facilities,E2007-0435,Municipal Right of Way,Registered,VAR,2007
4549,PTN LT 28 PL 1571,BCP29954,7805-0352,Multiple Facilities,E2007-0436,Municipal Right of Way,Registered,0.5,2007
4550,PTN LT S 1/2 19 PL 1361,BCP29608,7802-0359,Multiple Facilities,E2007-0646,Municipal Right of Way,Registered,0.5,2007
4551,PTN LT S 1/2 19 PL 1361,BCP29608,7802-0359,Multiple Facilities,E2007-0647,Municipal Right of Way,Registered,0.5,2007
4552,PTN LT 37 PL 57871,BCP31659,7806-0066-00,Passage,E2007-1027,Municipal Right of Way,Registered,4.0,2007
4553,PTN LT 37 PL 57871,BCP31659,7806-0066-00,Passage,E2007-1028,Municipal Right of Way,Registered,4.0,2007
4554,PTN SEC 27 TP 2 PL73619,73623,N/A,Terasen Gas,N/A,Utility Right of Way,Registered,VAR,1987
4555,PTN LT 177 PL BCP6715,BCP6716,7802-0240,Multiple Facilities,E2003-0286,Municipal Right of Way,Registered,0.5,2003
4556,PTN LT 228 PL 36718,36758,,Sanitary,E069-0138,Municipal Right of Way,Registered,1.219,1970
4557,PTN E 1/2 of E1/2 SEC 23 TP1,BCP29680,7806-0137,Passage,E2007-0342,Municipal Right of Way,Registered,VAR,2007
4558,PTN L 16 PL2163,EC-072-217,7805-0154,Multiple Facilities,E2007-0401,Municipal Right of Way,Registered,VAR,2007
4559,PTN L 16 PL2163,EC-072-217,7805-0154,Multiple Facilities,E2007-0402,Municipal Right of Way,Registered,VAR,2007
4560,PTN L 16 PL2163,EC-072-217,7805-0154,Multiple Facilities,E2007-0403,Municipal Right of Way,Registered,VAR,2007
4561,PTN LT 20 PL 40184,BCP41278,7808-0063-00,Multiple Facilities,E2009-0158,Municipal Right of Way,Registered,0.5,2009
4562,PTN LT 21 PL 62937,LMP44363,4898-055,Drainage,E1998-0284,Municipal Right of Way,Registered,0,1999
4563,E 6 FT LT 27 PL 21190,,2796,Sanitary,E1972-0040,Municipal Right of Way,Registered,1.829,1972
4564,PTN LT 1 EP38010,LMP976,5350-001,Hydrant,E1990-0657,Municipal Right of Way,Registered,1,1991
4565,E 6 FT LT 1 PL 19866,,2054-002,Drainage,E1986-1280,Municipal Right of Way,Registered,1.829,1959
4566,PTN LT 67 PL 57226,57228,9216,Public Access,E1978-0036,Municipal Right of Way,Registered,0,1979
4567,PTN N 1/2 LT 1 PL 8956 (LT 1 LMP29071),75071,7886-4240,Multiple Facilities,E1987-0306,Municipal Right of Way,Initiated,2,
4568,PTN LT 2 PL 61088,LMP51551,7800-0265,Multiple Facilities,E2001-0300,Municipal Right of Way,Registered,4.5,2001
4569,PTN LT A EP7022 (LTS 276 & 279 PL 65473),64757,7881-675,Multiple Facilities,E1982-0203,Municipal Right of Way,Registered,0,1982
4570,W 5 FT LT 13 PL 16652,18255,2054-002,Sanitary,E1986-0386,Municipal Right of Way,Registered,1.524,1957
4571,PTN LT 1 PL 8375 (LT 19 PL 79629),79010,7888-0125,Sanitary,E1988-0510,Municipal Right of Way,Registered,3,1988
4572,PTN N 1/2 LT 1 PL 8961(LT 16 PL LMP8357),LMP6681,7892-0044,Public Access,E1992-0434,Municipal Right of Way,Registered,3.14,1992
4573,PTN LT 1 PL LMP4869,BCP26873,7806-0185-00,Multiple Facilities,E2006-0481,Municipal Right of Way,Registered,3.441,2007
4574,PTN LT 2 PL LMP4869,BCP26873,7806-0185-00,Multiple Facilities,E2006-0482,Municipal Right of Way,Registered,3.441,2007
4575,PTN LT 33 PL BCP26197,BCP26199,7804-0364,Passage,E2006-0368,Municipal Right of Way,Registered,VAR,2006
4576,PTN LT 73 PL 82280,82281,7888-0020,Multiple Facilities,E1989-0311,Municipal Right of Way,Registered,5,1989
4577,S 6 FT LOT 204 PLAN 53116,14401,2054-002,Drainage,E1986-0122,Municipal Right of Way,Registered,1.829,1954
4578,PTN LT 5 PL 8672,45834,3516,Sanitary,E1974-0048,Municipal Right of Way,Registered,3.048,1974
4579,PTN LT 3 PL LMP5880,LMP13914,7889-0586,Public Access,E1993-0500,Municipal Right of Way,Registered,2,1996
4580,PTN N 1/2 LT 9 PL 5488 (PL 70253),69247,7883-528,Multiple Facilities,E1985-0114,Municipal Right of Way,Registered,4.5,1985
4581,E 3 FT LT 11 PL 18366,,2054-002,Drainage,E1986-0577,Municipal Right of Way,Registered,0.914,1958
4582,PTN LT 45 PL 64309,76575,7887-1340,Public Access,E1987-0535,Municipal Right of Way,Registered,0,1988
4583,PTN LT 2 PL 1605,14618,2054-002,Drainage,E1986-0173,Municipal Right of Way,Registered,0,1955
4584,PTN (1m WIDE) LOT 179 PLAN 46149,73903,5350-001,Multiple Facilities,E1986-0039,Municipal Right of Way,Registered,1,1987
4585,PTN LT 25 PL 1692 (LT 9 PL LMP8177),LMP5241,7888-0546,Public Access,E1992-0313,Municipal Right of Way,Registered,2,1992
4586,PTN LT 7 PL BCP31745,BCP41488,7806-0013-00,Multiple Facilities,E2009-0209,Municipal Right of Way,Registered,VAR,2009
4587,PTN PCL F PL 86557 (LT 12 PL 86559),86658,7888-0370,Multiple Facilities,E1990-0228,Municipal Right of Way,Registered,2.199,1990
4588,PTN NW2031,LMP4867,7889-0164,Sanitary,E1992-0270,Municipal Right of Way,Registered,5,1992
4589,PTN LT 51 PL 52471,BCP6922,7802-0296,Drainage,E2003-0416,Municipal Right of Way,Registered,3,2003
4590,PTN LOT 3 PLAN 9502,56602,4516,Sanitary,E1978-0199,Municipal Right of Way,Registered,3,1979
4591,PTN L 2 PL16145,42435,3130,Drainage,E1972-0179,Municipal Right of Way,Registered,VAR,1972
4592,S 12 FT LOT 17 PLAN 47922,,0508,Sanitary,E1975-0324,Municipal Right of Way,Registered,3.658,1975
4593,PTN LT 38 PL 27392 ( LT I PL LMP39751),LMP39751,4897-603,Drainage,E1997-0179,Municipal Right of Way,Registered,43.93,1998
4594,PTN LT 8 PL 11390,85023,7888-0442,Sanitary,E1990-0294,Municipal Right of Way,Registered,3,1990
4595,N 10 FT LT 18 PL 17095,,,Sanitary,E066-0025,Municipal Right of Way,Registered,3.048,1966
4596,PTN LT 20 PL 1435,LMP51278,4899-407,Multiple Facilities,E2000-0322,Municipal Right of Way,Registered,0,2001
4597,E 15 FT LT 32 PL 21037,,,Drainage,E1970-0085,Municipal Right of Way,Registered,4.572,1959
4598,PTN LT 2 PL 3974 (BCP13045),BCP10360,7803-0073,Multiple Facilities,E2004-0157,Municipal Right of Way,Registered,1,2004
4599,PTN REM B PL 15668 (BCP1276),LMP4521,7891-0103,Public Access,E1992-0222,Municipal Right of Way,Registered,0,1992
4600,PTN LT 47 PL 47395,BCP14619,7803-0138,Multiple Facilities,E2005-0003,Municipal Right of Way,Registered,0.5,2005
4601,W 3m LT 22 PL 13920,,4855-594,Drainage,E1985-0339,Municipal Right of Way,Registered,3,1995
4602,PTN E 1/2 LT 4 PL 13031 (LMP18029),LMP13704,7892-0410,Sanitary,E1994-0001,Municipal Right of Way,Registered,2,1994
4603,PTN LT 1 PL 72410 (LT 3 PL LMP50893),LMP50476,7801-0028,Multiple Facilities,E2001-0192,Municipal Right of Way,Registered,1,2001
4604,PTN Rem A RP911 (LTS 33-39 PL 76601),75831,7887-1260,Multiple Facilities,E1987-0443,Municipal Right of Way,Registered,3,1987
4605,W 6 FT LT 3 PL 17137,,2054-002,Drainage,E1986-1431,Municipal Right of Way,Registered,1.829,1956
4606,PTN LT A PL 7438 (LT 316 PL 67728),67335,7883-360,Public Access,E1984-0009,Municipal Right of Way,Registered,5.5,1984
4607,PTN LT 226 PL 61972 (LT 575 PL 66019),63411,7881-397,Drainage,E1981-0435,Municipal Right of Way,Registered,3,1983
4608,PTN LT B PL 7167,88199,4896-213,Public Access,E1997-0050,Municipal Right of Way,Registered,0,1997
4609,PTN PCL C PL6086,58425,4900,Drainage,E1979-0243,Municipal Right of Way,Registered,VAR,1979
4610,E 10 FT REM 33 PL 26777 (LT 159 PL54987),40171,2851,Multiple Facilities,E1971-0138,Municipal Right of Way,Registered,3.048,1971
4611,,346990C,,BC Hydro,N/A,Utility Right of Way,,,
4612,PTN LT 28 PL 11645 (LT 71-73 PL 49237),49102,3802,Multiple Facilities,E1975-0359,Municipal Right of Way,Registered,3.048,1975
4613,PTN LT G RP6297 (LMP53335),LMP25607,7891-0415,Sanitary,E1995-0267,Municipal Right of Way,Registered,12.5,1995
4614,PTN LT 2 PL 82327 (LMS2872),LMP10595,7892-0145,Sanitary,E1993-0212,Municipal Right of Way,Registered,3,1994
4615,PTN LT 15 PL 30494 (LT 40 PL 56637),45274,1211,Drainage,E1975-0233,Municipal Right of Way,Partial Release,18.288,1975
4616,PTN LT A PL LMP36836,LMP41562,5350-001,Multiple Facilities,E1998-0026,Municipal Right of Way,Registered,VAR,2001
4617,PTN LT 1 PL LMP50639,LMP50639,7999-0193,Multiple Facilities,E2001-0132,Municipal Right of Way,Partial Release,0,2001
4618,PTN LT 25 PL 33007 (LT 1 PL LMP4120),45274,1211,Multiple Facilities,E1975-0228,Municipal Right of Way,Partial Release,12.192,1975
4619,PTN LT 1 PL LMP50634,LMP50638,7899-0193,Emergency,E2001-0164,Municipal Right of Way,Partial Release,5,2005
4620,PTN LT 34 PL 56637 (LT 2 PL LMP6573),56925,9123,Water,E1978-0506,Municipal Right of Way,Partial Release,3,1979
4621,PTN (4.5m WIDE) LT 32 PL 56637,57283,9123,Multiple Facilities,E1978-0498,Municipal Right of Way,Registered,4.5,1979
4622,PTN LT 3 PL BCP43451,EPP35732,7812-0134-00,Drainage,E2013-0505,Municipal Right of Way,Registered,0.5,2013
4623,PTN LT 2 PL 19193,EPP35732,7812-0134-00,Drainage,E2013-0504,Municipal Right of Way,Registered,0.5,2013
4624,PTN L 2 PL69094 SRW PLBCP30153,BCP30153,7805-0368-00,Multiple Facilities,E2007-0433,Municipal Right of Way,Registered,VAR,2007
4625,PTN LT 1 PL LMP8168,LMP46814,7898-0281,Public Access,E2000-0266,Municipal Right of Way,Registered,4.5,2000
4626,PTN LT 16 PL 31048 (63554 & LMP13830),45274,1211,Drainage,E1975-0232,Municipal Right of Way,Registered,0,1975
4627,"PTN LT 12 PL36832(LMS795,LMP473,LMP19668",87316,7889-0164,Drainage,E1990-0561,Municipal Right of Way,Registered,3,1990
4628,N 10 FT LT 22 PL 16789,,0214,Sanitary,E1970-0123,Municipal Right of Way,Registered,3.048,1971
4629,PTN LT B PL 82696,LMP38320,7895-0207,Drainage,E1998-0096,Municipal Right of Way,Registered,5,1999
4630,PTN LT 13 PL 18413 (LT 2-3 PL 72451),71788,7885-5720,Multiple Facilities,E1986-0924,Municipal Right of Way,Registered,0,1986
4631,PTN LT 2 PL 1577,84309,7889-0308,Multiple Facilities,E1990-0057,Municipal Right of Way,Registered,5,1990
4632,PTN LT 27 PL 61625,61644,A413,Drainage,E1981-0114,Municipal Right of Way,Registered,3,1981
4633,PTN LT 77 PL 61926 GVS & DD,42741,2054-002,Sanitary,E1986-0874,Municipal Right of Way,Registered,0,1973
4634,PTN LS 1 SEC 21 (LT 78 PL 57257),57154,9465,Drainage,E1979-0132,Municipal Right of Way,Partial Release,3,1979
4635,PTN LT 1 PL LMP25504,LMP25505,5350-001,Sanitary,E1994-0136,Municipal Right of Way,Registered,14.5,1995
4636,S 3m LT 36 PL 30470,,7892-0013,Drainage,E1992-0360,Municipal Right of Way,Registered,3,1993
4637,PTN LT 102 PL 42778 (GVS & DD),39021,2054-002,Sanitary,E1986-1141,Municipal Right of Way,Registered,4.572,1973
4638,PTN Rem 15 PL 1151 (GVS&DD),78967,2054-002,Sanitary,E1991-0035,Municipal Right of Way,Registered,7.62,1988
4639,PTN PCL A PL 9266 (LMP24378 & BCP5612),LMP13266,7892-0421,Drainage,E1993-0443,Municipal Right of Way,Registered,3,1994
4640,PTN LT 2 PL LMP38652,LMP39511,7893-0040,Multiple Facilities,E1998-0195,Municipal Right of Way,Registered,0,2001
4641,PTN LT 39 PL 75652,65707,5350-001,Sanitary,E1988-0580,Municipal Right of Way,Registered,3,1989
4642,ALL OF LT 4 PL LMP14133 (HOOKED),LMP14134,7892-0291,Multiple Facilities,E1993-0489,Municipal Right of Way,Registered,0,1994
4643,PTN (4 FT WIDE) LT 12 BLK F PL 16043,16089,2054-002,Multiple Facilities,E1986-0707,Municipal Right of Way,Registered,1.219,1955
4644,,300138C,N/A,Terasen Gas,N/A,Utility Right of Way,Registered,VAR,
4645,PTN LT 470 RP63111 (LT 1-4 PL 69285),69147,7884-175,Multiple Facilities,E1985-0040,Municipal Right of Way,Registered,0,1985
4646,PTN W 1/2 LT 5 PL 1362 (LT 11 LMP13621),LMP10673,7891-0151,Drainage,E1993-0248,Municipal Right of Way,Registered,3,1993
4647,PTN L 3 SEC 11 TP 2 PLBCP8751,BCP21798,0410-20,Multiple Facilities,E2006-0421,Municipal Right of Way,Registered,Var,2006
4648,PTN LT A PL BCP,BCP19623,7804-0188-00,Multiple Facilities,E2005-0339,Municipal Right of Way,Registered,VAR,2005
4649,PTN L 52 PL67509,67509,1722-609,Drainage,E1987-0033,Municipal Right of Way,Registered,VAR,1987
4650,PTN (3m x 3m) LT 12 PL 14700,64562,S107,Sanitary,E1982-0124,Municipal Right of Way,Registered,3,1982
4651,PTN (8 FT WIDE) LT B PL 18258,15847,2054-002,Sanitary,E1985-0083,Municipal Right of Way,Registered,2.438,1958
4652,PTN 10 FT x 10 FT of LT 1 PL 2728,46031,3517,Sanitary,E1974-0217,Municipal Right of Way,Registered,3.048,1974
4653,PTN LT 28 PL 37223,54868,9129,Multiple Facilities,E1978-0356,Municipal Right of Way,Registered,0,1978
4654,PTN LT 6 PL 77232,77502,7887-4240,Drainage,E1988-0109,Municipal Right of Way,Registered,3,1988
4655,PTN LT G RP6890 (LMP22091) (GVS & DD),LMP20559,5350-001,Multiple Facilities,E1995-0210,Municipal Right of Way,Registered,0,1994
4656,PTN COMMON PROP. PL BCS484,BCP12994,7803-0183,Multiple Facilities,E2004-0301,Municipal Right of Way,Registered,12.5,2005
4657,PTN (4 FT WIDE) LT 18 BLK E PL 16043,16089,2054-002,Multiple Facilities,E1986-0657,Municipal Right of Way,Registered,1.219,1955
4658,PTN LT A PL 13373 (& LT 1 RP76297),56694,4516,Sanitary,E1978-0336,Municipal Right of Way,Registered,3,1979
4659,PTN LT 9 BLK U PL 469,52942,4515,Sanitary,E1977-0430,Municipal Right of Way,Registered,1.524,1977
4660,PTN L 38 PL34315,LMP11385,7890-0392,Sanitary,E1993-0299,Municipal Right of Way,Registered,3.00,1993
4661,PTN LT 4 PL 2939 (LT 1 PL 61305),60336,A-238,Multiple Facilities,E1980-0273,Municipal Right of Way,Registered,3,1980
4662,PTN LT 2 PL 6434 (LT 103 PL LMP1259),86149,7888-0034,Drainage,E1990-0456,Municipal Right of Way,Registered,0,1990
4663,PTN LT B PL 71486 (LT 1-2 PL 73076),72710,7886-4360,Sanitary,E1986-1568,Municipal Right of Way,Registered,4,1986
4664,W 3M W 1/2 LT 26 PL 2425 (PL LMP45743),,4786-630,Sanitary,E1986-0441,Municipal Right of Way,Registered,3,1986
4665,PTN LT 15 BK 2 PL 480 (LT A RP77361),53003,4515,Sanitary,E1977-0637,Municipal Right of Way,Registered,1.524,1977
4666,PTN Pcl J PL 19257,LMP8094,7889-0221,Multiple Facilities,E1993-0009,Municipal Right of Way,Registered,3,1993
4667,PTN LT 5 BLK L PL 469,53002,4515,Sanitary,E1977-0596,Municipal Right of Way,Registered,1.524,1977
4668,PTN LT 54 PL 64442(PL 82215 & PL 87805),79562,5687-3130,Sanitary,E1987-0335,Municipal Right of Way,Registered,3,1988
4669,PTN REM 4 PL 8666,LMP41579,1798-058,Public Access,E1998-0228,Municipal Right of Way,Registered,0.5,1999
4670,PTN LT 1 PL 1360,BCP20547,7804-0132,Multiple Facilities,E2005-0549,Municipal Right of Way,Registered,0.5,2005
4671,PTN LT A PL LMP16163,BCP29325,7805-0271,Water,E2007-0442,Municipal Right of Way,Registered,4.0,2007
4672,PTN LT 1 PL LMP1370(LTS 26-29 PL LMP2969,LMP1790,7889-0176,Drainage,E1990-0663,Municipal Right of Way,Registered,3,1991
4673,S 10 FT LT 10 PL 6066 (PL61830 & NW2616),,,Sanitary,E067-0014,Municipal Right of Way,Registered,3.048,1967
4674,PTN L 19 PL6632,8913,2054-002,Drainage,E1986-1200,Municipal Right of Way,Registered,VAR,1943
4675,N 10 FT LT 20 PL 16652,18255,2054-002,Sanitary,E1986-0402,Municipal Right of Way,Registered,3.048,1957
4676,PTN S 1/2 LT 2 PL 8961(LT 24 PL LMP8357),LMP6681,7892-0044,Multiple Facilities,E1992-0430,Municipal Right of Way,Registered,1.308,1992
4677,PTN (15 FT WIDE) LT 183 PL68218 GVS & DD,42741,2054-002,Sanitary,E1986-0880,Municipal Right of Way,Registered,4.572,1973
4678,PTN LT 12 PL 51004,55308,4952,Multiple Facilities,E1978-0379,Municipal Right of Way,Registered,0,1978
4679,PTN S 1/2 LT 4 PL 3974 (BCP13045),BCP10360,7803-0073,Multiple Facilities,E2004-0124,Municipal Right of Way,Registered,1,2004
4680,PTN L 4 PL8812,EC-059-048,7806-0227,Multiple Facilities,E2007-0279,Municipal Right of Way,Registered,VAR,2007
4681,,BCP17819,7804-0126,Multiple Facilities,E2005-0255,Municipal Right of Way,Registered,0.5,2005
4682,PTN LT 1 PL LMP43715,EPP33404,7812-0033-00,Road,E2013-0384,Municipal Right of Way,Registered,0.5,2013
4683,PTN LT 28 PL 1361,BCP30525,7806-0013,Multiple Facilities,E2007-0569,Municipal Right of Way,Registered,1.0,2007
4684,PTN LOT 36 PL 1361,EPP10105,7804-0038-00,Drainage,E2010-0260,Municipal Right of Way,Registered,VAR,2010
4685,PTN LT 109 PL 54837,LMP4871,3888-851,Traffic Control,E1991-0157,Municipal Right of Way,Registered,0,1992
4686,PTN LT 10 PL 12271,BCP47665,7806-0351-00,Passage,E2011-0082,Municipal Right of Way,Registered,2.0,2011
4687,PTN LT 1 PL BCP39459,EPP11787,7805-0182-00,Multiple Facilities,E2011-0089,Municipal Right of Way,Registered,0.5,2011
4688,PTN LT 10 PL 1372,BCP47813,7807-0204-00,Drainage,E2011-0100,Municipal Right of Way,Registered,VAR,2011
4689,PTN LT 68 PL 36856 (LT B PL 68094),67520,7883-239,Sanitary,E1984-0052,Municipal Right of Way,Registered,3.048,1984
4690,PTN L 16 PL43883,48463,4010,Sanitary,E1975-0205,Municipal Right of Way,Registered,VAR,1975
4691,W 3m LT 156 PL 56070,,D240,Drainage,E1982-0162,Municipal Right of Way,Registered,3,1982
4692,N 12 FT LT 432 PL 55311,13440,2054-002,Drainage,E1986-0941,Municipal Right of Way,Registered,3.658,1953
4693,PTN LT 4 PL 43843,59073,C002,Multiple Facilities,E1980-0095,Municipal Right of Way,Registered,19,1980
4694,PTN LT 4 PL 43843,51963,4469,Multiple Facilities,E1976-0305,Municipal Right of Way,Registered,0,1978
4695,PTN LT 223 PL 36718,36758,,Sanitary,E069-0131,Municipal Right of Way,Registered,3.048,1970
4696,PTN LT 2 PL 22884,LMP27805,4893-3603,Drainage,E1994-0081,Municipal Right of Way,Registered,5,1996
4697,PTN LT 11 BLK U PL 469,52942,4515,Sanitary,E1977-0431,Municipal Right of Way,Registered,1.524,1977
4698,W 10 FT LT 14 PL 9014,,2529,Sanitary,E1970-0078,Municipal Right of Way,Registered,3.048,1979
4699,PTN LT A LP LMP12578,LMP40367,7895-0205,Drainage,E1998-0280,Municipal Right of Way,Registered,5,1998
4700,N 3m LT 46 PL 49157 (LT 1 RP78978),,5350-001,Drainage,E1987-0433,Municipal Right of Way,Registered,3,1988
4701,PTN S 1/2 S 1/2 LT15 PL5488 (PL51521),50021,4035,Multiple Facilities,E1976-0156,Municipal Right of Way,Registered,3.048,1976
4702,PTN LT 8 PL 63332 (GVWD),79657,5350-001,Water,E1993-0003,Municipal Right of Way,Registered,0,1989
4703,"PTN REM H PL22594(LMPS7746,33700, 43349)",LMP3673,7889-0164,Sanitary,E1992-0115,Municipal Right of Way,Registered,5,1992
4704,PTN LT X PL 25810 (PL 48794),48656,2906,Multiple Facilities,E1975-0320,Municipal Right of Way,Registered,4.877,1975
4705,PTN LT A PL LMP42918,LMP45171,7899-0044,Water,E2000-0030,Municipal Right of Way,Registered,0,2000
4706,PTN LT 15 PL 49521 (PL BCP488),LMP52383,7800-0307,Sanitary,E2002-0059,Municipal Right of Way,Initiated,10,2002
4707,N 20 FT LT A PL 20708,,4826,Multiple Facilities,E1977-1197,Municipal Right of Way,Registered,6.096,1978
4708,E 3m LT 79 PL 53354,,4883-361,Drainage,E1983-0312,Municipal Right of Way,Registered,3,1983
4709,PTN N 1/2 LT 4 PL 1395 (LMP42020,84025,7889-943,Drainage,E1989-0167,Municipal Right of Way,Partial Release,0,1990
4710,PTN LT 4 PL BCP ,BCP20520,7802-0358,Multiple Facilities,E2006-0009,Municipal Right of Way,Registered,5.0,2006
4711,ALL OF REM PCL E EP5049,EP5049,4899-053,Multiple Facilities,E1999-0099,Municipal Right of Way,Registered,12.192,1999
4712,PTN REM PCL C RP3699,LMP43987,4899-053,Multiple Facilities,E1999-0100,Municipal Right of Way,Registered,0,2000
4713,PTN LT 1 PL 87485 (LMS133),87629,7890-0184,Multiple Facilities,E1990-0555,Municipal Right of Way,Registered,5,1990
4714,PTN LT 50 PL 66833,BCP2926,7802-0117,Multiple Facilities,E2002-0540,Municipal Right of Way,Registered,11.5,2003
4715,ALL LOT 138 PLAN 66282,66007,7880-363,Multiple Facilities,E1983-0187,Municipal Right of Way,Registered,20.084,1983
4716,PTN LT 10 PL 12765 (LT 5 PL 74623),73918,7886-4570,Multiple Facilities,E1987-0045,Municipal Right of Way,Registered,0,1987
4717,PTN W 1/2 LT 1 PL 8036 (LT 2 PL LMP4099),LMP3033,7890-0167,Multiple Facilities,E1992-0034,Municipal Right of Way,Registered,0,1992
4718,PTN REM B (M7473E) DL 450 GP 2 NWD,BCP9785,4802-004,Drainage,E2003-0478,Municipal Right of Way,Registered,0,2004
4719,PTN L A SEC 33 PLLMP46915,LMP46920,N/A,BC Hydro,N/A,Utility Right of Way,Registered,20.1,2000
4720,"PTN LT 1 PL7183 (LT 89,90,93-95 PL49078)",48527,4098,Sanitary,E1975-0297,Municipal Right of Way,Registered,0,1975
4721,PTN Rem S 1/2 NE 1/4 SEC 21 (PL 75492),74525,7883-3580,Multiple Facilities,E1987-0155,Municipal Right of Way,Registered,0,1987
4722,PTN LT B PL 17590,86916,6089-0140,Sanitary,E1990-0654,Municipal Right of Way,Registered,3,1991
4723,PTN LT 6 PL 14023,BCP21988,7804-0010,Multiple Facilities,E2006-0046,Municipal Right of Way,Registered,0.5,2006
4724,PTN LT 18 PL3981,BCP17689,7804-0003,Multiple Facilities,E2005-0241,Municipal Right of Way,Registered,0.5,2005
4725,PTN LT 36 PL 46652,BCP17665,7803-0268,Multiple Facilities,E2005-0224,Municipal Right of Way,Registered,0.5,2005
4726,PTN LT 75 PL 45512,LMP51510,7800-0165,Multiple Facilities,E2001-0269,Municipal Right of Way,Registered,1.0,2001
4727,PTN LT 1 PL LMP16163,BCP29325,7805-0271,Water,E2007-0441,Municipal Right of Way,Registered,4.0,2007
4728,PTN LT 1 PL 1962,BCP24893,7805-0081-00,Multiple Facilities,E2006-0312,Municipal Right of Way,Registered,0.5,2006
4729,PTN LT 49 PL BCP14927,BCP18678,7802-0358-00,Multiple Facilities,E2004-0499,Municipal Right of Way,Registered,0.5,2005
4730,PTN LT 52 PL BCP14927,BCP18678,7802-0358-00,Multiple Facilities,E2004-0496,Municipal Right of Way,Registered,0.5,2005
4731,PTN LT 16 PL 1510,BCP12050,7802-0358-00,Multiple Facilities,E2004-0294,Municipal Right of Way,Registered,4.0,2004
4732,PTN LT 29 PL 40896,BCP23167,7805-0042-00,Passage,E2006-0148,Municipal Right of Way,Registered,8.0,2006
4733,PTN  LT 5 PL 2468,BCP16054,7804-0086,Multiple Facilities,E2005-0133,Municipal Right of Way,Registered,0,2005
4734,,BCP17212,7803-0335,Multiple Facilities,E2005-0182,Municipal Right of Way,Registered,0,2005
4735,PTN LT 10 PL 7512,LMP51713,4899-407,Multiple Facilities,E2000-0349,Municipal Right of Way,Registered,0,2001
4736,PTN PCL A  LT 13  PL 12184,BCP15082,5400-60,Public Access,E2006-0054,Municipal Right of Way,Registered,VAR,2006
4737,PTN LT E PL 12297,BCP24370,7804-0308-00,Sanitary,E2006-0305,Municipal Right of Way,Registered,7.0,2006
4738,PTN LT 4 PL 7059,LMP49794,7800-0227,Public Access,E2001-0120,Municipal Right of Way,Registered,0,2001
4739,PTN S 1/2 LT 20 PL 4046 (PL 75494),75092,7886-5140,Sanitary,E1987-0314,Municipal Right of Way,Registered,5.303,1987
4740,PTN LT 35 PL 56637,56925,7885-4720,Multiple Facilities,E1986-0821,Municipal Right of Way,Registered,3,1986
4741,PTN LT C PL 20786,BCP07963,7802-0392-00,Sanitary,E2003-0486,Municipal Right of Way,Registered,12.0,2003
4742,PTN LT 18 PL 4131 (LT 40 PL 49056),45477,3559,Sanitary,E1974-0293,Municipal Right of Way,Registered,0,1974
4743,NE 1/4 & NW 1/4 SEC 18 TP 8,12717,N/A,BC Hydro,N/A,Utility Right of Way,Registered,VAR,1952
4744,E 10 FT LT 31 PL 19092,,,Drainage,E068-0012,Municipal Right of Way,Registered,3.048,1968
4745,PTN LT 7 PL 48028,LMP38164,4897-075,Drainage,E1997-0361,Municipal Right of Way,Registered,13,1998
4746,PTNS LOT 11 PL8668 (PL55288),54393,9066,Multiple Facilities,E1978-0090,Municipal Right of Way,Registered,0,1978
4747,PTN LT 1 PL18947,BCP4380,5350-001,Drainage,E2002-0460,Municipal Right of Way,Registered,1,2003
4748,PTN LT 3 PL 1827 (LT 289-290 PL 57021),56506,9486,Multiple Facilities,E1979-0054,Municipal Right of Way,Registered,4,1979
4749,PTN S 1/2 LT 10 PL 2817 (PL 74047),73625,7886-3410,Multiple Facilities,E1987-0018,Municipal Right of Way,Registered,4.5,1987
4750,PTN LT 4 PL 10258 (NW2156),61680,A392,Drainage,E1981-0090,Municipal Right of Way,Registered,3,1981
4751,W 5 FT LT 40 PL 16940,,2054-002,Sanitary,E1986-0225,Municipal Right of Way,Registered,1.524,1956
4752,S 8 FT LT 444 PL 63042,,2054-002,Drainage,E1986-0134,Municipal Right of Way,Registered,2.438,1953
4753,PTN LT 41 PL 9117 (LT A RP80329),72727,1784-476,Drainage,E1986-0322,Municipal Right of Way,Registered,0,1986
4754,PTN (6 FT WIDE) PCL A PL 4218 (PL 45342),42722,3202,Multiple Facilities,E1973-0213,Municipal Right of Way,Registered,1.829,1973
4755,PTN LT C PL 23528,BCP12195,7802-0127,Multiple Facilities,E2004-0328,Municipal Right of Way,Registered,0.5,2004
4756,PTN LT 9 PL 2327(LT 22 PL 84702),83833,7888-0398,Drainage,E1989-0533,Municipal Right of Way,Registered,3,1990
4757,PTN LT 20 PL 39252,54142,4469,Sanitary,E1977-0030,Municipal Right of Way,Registered,3.048,1979
4758,PTN LT 3 PL 7977,66223,4783-331,Sanitary,E1983-0116,Municipal Right of Way,Registered,4,1983
4759,PTN LT 26 PL 41720,51645,4136,Road,E1977-0061,Municipal Right of Way,Registered,3.048,1977
4760,PTN LT 2 PL 73076,LMP48160,7893-0230,Sanitary,E2000-0375,Municipal Right of Way,Registered,0,2000
