,ADJACENT_LAND_USE_RATING,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DEDICATED_URBAN_FOREST,DESCRIPTION,ESA_RANKING,EXPOSED_EDGE_LENGTH_M,FACILITYID,FOREST_AGE_CLASS,FOREST_TYPE,FRAGMENTATION_RATING,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,ISOLATION_RATING,LEGACYID,LOCATION,MAINTAINED_EDGE_LENGTH_M,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NATURAL_AREA_TYPE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,RIGHT_OF_WAY,RIPARIAN_AREA,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TRAIL_PRESENT,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
147,1,,S. section is largely fenced and actively used by landowner adjacent to the E. ,,,,N,"Forest; 49A - Greenbelt, 19401 80 Ave",1,1433,1001438806,Mature,Deciduous,0,19401,0,,1,0711-000000329,Mostly in N. and E. strip.,,PARKS,,049,,20121016,Forest-deciduous,"49A - Greenbelt, 19401 80 Ave",Park,PARKS,49A - Greenbelt,,N,Y,08000,,,OPERATING,20040823100100,N,,,,,
148,2,,Also some cedar present. ,,,,N,"Forest; West Fraser Heights Park, 10701 158 St",0,634,1001438744,Mature,Deciduous,2,10701,0,,4,0711-000000580,Most of park,,PARKS,,014,,20170307,Forest-deciduous,"West Fraser Heights Park, 10701 158 St",Park,PARKS,West Fraser Heights Park,,Y,N,15800,,,OPERATING,20040824131700,Y,,,,,
149,3,,Himal. bl. berry crowding bases of cedar and spruce in N. of stand ,,,,N,"Forest; Kettle Crescent Park, 15434 Kildare Dr",1,100,1001438785,Mature,Mixed,4,15434,0,,4,0711-000000393,At W. end of lot,,PARKS,,074,,20160125,Forest-mixed,"Kettle Crescent Park, 15434 Kildare Dr",Park,PARKS,Kettle Crescent Park,,N,N,05975,,,OPERATING,20040823132200,N,,,,,
150,3,,See map for yard waste and invasive spp. locations; v. large heritage D. fir in E. forest stand (see map). ,,,,N,"Forest; Kettle Crescent Park, 15434 Kildare Dr",1,1336,1001438793,Mature,Mixed,4,15434,0,,4,0711-000000392,"Long strips in S. and W., as well as a stand in the E.",,PARKS,,074,,20160125,Forest-mixed,"Kettle Crescent Park, 15434 Kildare Dr",Park,PARKS,Kettle Crescent Park,,Y,N,05975,,,OPERATING,20040823132000,N,,,,,
151,,,,,,,,,,,1001981069,,,,,,,,,,,,,,,,Forest-mixed,,,,,,,,,,,,,,,,,,
152,1,,,,,20090706,N,"Forest; 75D - Greenbelt, 16551 Old McLellan Rd",1,405,1001439201,Mature,Mixed,1,16551,0,,1,0711-000001063,linear strip from Bell Rd to main E-W path,0,Parks,,075,,20180119,Forest-mixed,"75D - Greenbelt, 16551 Old McLellan Rd",Park,Parks,75D - Greenbelt,,N,N,05820,,,OPERATING,20090706152700,N,,,,,
153,1,,,,,20090706,N,"Forest; 75D - Greenbelt, 16551 Old McLellan Rd",1,914,1001439200,Mature,Mixed,1,16551,0,,1,0711-000001062,throughout site,0,Parks,,075,,20180119,Forest-mixed,"75D - Greenbelt, 16551 Old McLellan Rd",Park,Parks,75D - Greenbelt,,Y,Y,05820,,,OPERATING,20090706151900,N,,,,,
154,1,,"See map for refuse, yard waste & invasive spp. locations. ",,,,N,"Forest; Panorama Heights Park, 6181 131A St",2,646,1001438791,Mature,Mixed,0,06181,0,,4,0711-000000528,"Largely in the S., also two patches closer to the N. end.",,PARKS,,071,,20121016,Forest-mixed,"Panorama Heights Park, 6181 131A St",Park,PARKS,Panorama Heights Park,,Y,N,13150,,,OPERATING,20040824104300,Y,,,,,
155,1,,Ivy enchroaching from neighbours yards (see map). ,,,,N,"Forest; South Meridian Park, 16187 12 Ave",0,1203,1001438756,Mature,Mixed,0,16187,0,,3,0711-000000560,Strip along riparian area and large patch in S.,,PARKS,,135,,20121016,Forest-mixed,"South Meridian Park, 16187 12 Ave",Park,PARKS,South Meridian Park,,Y,Y,01200,,,OPERATING,20040824115000,N,,,,,
156,2,,"Not official parkland, unopened road ROW; very small stands      ",,,,N,"Forest; Fraserglen Park, 10634 Fraserglen Dr",2,190,1001438764,Mature,Mixed,3,10634,0,,2,0711-000000183,Various locations,,PARKS,,015,,20140110,Forest-mixed,"Fraserglen Park, 10634 Fraserglen Dr",Park,PARKS,Fraserglen Park,,N,N,16305,,,OPERATING,20040820100000,Y,,,,,
157,0,,,,,20161202,N,"Forest; Fleetwood Park, 15802 80 Ave",0,4232,1001898927,Mature,Deciduous,0,15802,,20160818,3,1001879032,entire site,151,Parks,,054,,20180105,Forest-deciduous,"Fleetwood Park, 15802 80 Ave",Park,Parks,Fleetwood Park,,N,N,08000,,,OPERATING,,N,,,,,
158,3,,"Unsanctioned trail leading into park, lots of refuse along trail. ",,,,N,"Forest; 11C - Greenbelt, Ravine Rd & King George Blvd",0,508,1001439019,Mature,Mixed,0,11070,0,,4,0711-000000162,Whole lot,66,Parks,,011,,20150703,Forest-mixed,"11C - Greenbelt, Ravine Rd & King George Blvd",Park,Parks,11C - Greenbelt,,Y,Y,13601,,,OPERATING,20010828112400,N,,,,,
159,3,,See map for invasive spp. locations. ,,,,N,"Forest; Southmere Village Park, 1929 - Southmere Cres",2,385,1001439069,Mature,Mixed,4,01929,0,,4,0711-000000029,"Scattered, mostly W. side.",,PARKS,,123,,20180105,Forest-mixed,"Southmere Village Park, 1701 Martin Dr",Park,PARKS,Southmere Village Park,,N,N,14907,,,OPERATING,,Y,,,,,
160,3,,Ivy invading in a couple of areas (see map); limited understory in most areas. ,,,20171030,N,"Forest; Southmere Village Park, 1701 Martin Dr",2,2425,1001953285,Mature,Mixed,4,01701,0,,4,1001438749,Scattered throughout park.,,PARKS,,123,,20180105,Forest-mixed,"Southmere Village Park, 1701 Martin Dr",Park,PARKS,Southmere Village Park,,N,Y,15083,,,OPERATING,20040824115200,N,,,,,
161,3,,,,,20130720,N,"Forest; Buchamer Park, 2601 139a St",1,1381,1001606931,Mature,Mixed,0,02601,,20130128,3,,north west portion of site,389,Parks,,112,,20150910,Forest-mixed,"Buchamer Park, 2601 139a St",Park,Parks,Buchamer Park,,Y,N,13950,,,OPERATING,,N,,,,,
162,1,,Scotch broom just becoming established in the park. ,,,,N,"Forest; Abbey Glen Park, 17189 103 Ave",0,573,1001438817,Young,Deciduous,4,17189,0,,3,0711-000000413,"Scattered, mostly in the S.",,PARKS,,026,,20161011,Forest-deciduous,"Abbey Glen Park, 17189 103 Ave",Park,PARKS,Abbey Glen,,Y,Y,10300,,,OPERATING,20040823140800,Y,,,,,
163,3,,,,,20161108,N,"Forest; 14O - Greenbelt, 15952 106 Ave",2,135,1001896229,Mature,Deciduous,0,,,20160415,2,1001604997,All of lot,14,Parks,,014,,20161108,Forest-deciduous,"14O - Greenbelt, 15952 106 Ave",,Parks,14O - Greenbelt,,Y,N,,,,OPERATING,,N,,,,,
164,2,,,,,,N,"Grassland; Guy Richardson Park, 16940 Friesian Dr",0,705,1001439134,,,3,16940,0,,2,0711-000000493,south portion of park,,PARKS,,076,,20121016,Grassland,"Guy Richardson Park, 16940 Friesian Dr",Park,PARKS,Guy Richardson Park,,Y,N,05760,,,OPERATING,20040824093600,Y,,,,,
165,2,,,,,20140429,,"Forest; Old City Hall Grounds, 14245 56 Ave",0,282,1001745184,Mature,Deciduous,0,14245,,20140429,3,,corner of 58 ave and 142 St,140,Parks,,072,,,Forest-deciduous,"Old City Hall Grounds, 14245 56 Ave",Land,Parks,Old City Hall Grounds,,,Y,05600,,,OPERATING,,,,,,,
166,1,,Regenerating hemlock present; holly and Him. blk. bry. invas's,,,,N,"Forest; 81C - Greenbelt, 5593 136 St",1,293,1001439074,Mature,Deciduous,0,05593,0,,4,0711-000000404,Whole lot,,PARKS,,081,,20121016,Forest-deciduous,"81C - Greenbelt, 5593 136 St",Park,PARKS,81C - Greenbelt,,N,Y,13600,,,OPERATING,20040823134600,N,,,,,
167,3,,,,,,N,"Forest; Hjorth Road Park, 10275 148 St",0,317,1001438707,Young,Deciduous,0,10275,0,,3,0711-000000163,a few small spots,,Parks,,023,,20140116,Forest-deciduous,"Hjorth Road Park, 10275 148 St",Park,Parks,Hjorth Road Park,,Y,N,14800,,,OPERATING,20010828112800,N,,,,,
168,3,,Some of the birch may not be paper birch; some aspen in forest as well (see map). ,,,,N,"Forest; Kettle Crescent Park, 15434 Kildare Dr",1,161,1001438929,Mature,Deciduous,4,15434,0,,4,0711-000000395,S. end of park.,,PARKS,,074,,20160125,Forest-deciduous,"Kettle Crescent Park, 15434 Kildare Dr",Park,PARKS,Kettle Crescent Park,,N,N,05975,,,OPERATING,20040823132500,Y,,,,,
169,1,,See map for areas of dense invasive species cover. ,,,,N,"Forest; Poplar Park, 13074 - 112 Ave",0,879,1001438807,Mature,Deciduous,1,13074,0,,4,0711-000000017,Most of park,,PARKS,,011,,20121016,Forest-deciduous,"Poplar Park, 13074 112 Ave",Park,PARKS,Poplar Park,,N,N,11200,,,OPERATING,,Y,,,,,
170,1,,Few regen. cedar and hemlock; see map for condition locations ,,,20170106,N,"Forest; Kennedy Trail Park, 12237 82 Ave",2,430,1001901546,Mature,Deciduous,3,12237,0,,2,1001901541,Sections in lower half of park,,PARKS,,040,,20180112,Forest-deciduous,"Kennedy Trail Park, 12237 82 Ave",Park,PARKS,Kennedy Trail Park,,N,N,08200,,,OPERATING,20040824100900,Y,,,,,
171,4,,,,,20130720,N,"Forest; 72H - Greenbelt, 14244 62B Ave",1,188,1001606922,Young,Mixed,0,14244,,20130128,3,,entire lot,46,Parks,,072,,20130720,Forest-mixed,"72H - Greenbelt, 14244 62B Ave",Park,Parks,72H - Greenbelt,,N,Y,06250,,,OPERATING,,N,,,,,
172,3,,Few mature cedars present; few yd. wst. piles (3m3 total); lacking underst. in S. portion of frst.; Himal. bl. bry. on edge and w/in frst. in N. ,,,,N,"Forest; Kettle Crescent Park, 15434 Kildare Dr",1,106,1001438960,Young,Coniferous,4,15434,0,,4,0711-000000394,Northern 3/4,,PARKS,,074,,20160125,Forest-coniferous,"Kettle Crescent Park, 15434 Kildare Dr",Park,PARKS,Kettle Crescent Park,,N,N,05975,,,OPERATING,20040823132400,N,,,,,
173,2,,,,,20130720,N,"Forest; 72K - Greenbelt, 6090 King George Blvd",1,392,1001606926,Mature,Mixed,0,06090,,20130128,2,,entire lot,69,Parks,,072,,20130720,Forest-mixed,"72K - Greenbelt, 6090 King George Blvd",Park,Parks,72K - Greenbelt,,N,Y,13601,,,OPERATING,,N,,,,,
174,4,,,,,20130720,N,"Forest; 103E - Greenbelt, 3481 147a St",0,804,1001606928,Mature,Coniferous,0,03481,,20130204,3,,most of site,69,Parks,,103,,20130720,Forest-coniferous,"103E - Greenbelt, 3481 147a St",Park,Parks,103E - Greenbelt,,N,Y,14750,,,OPERATING,,N,,,,,
175,2,,,,,20130720,N,"Forest; 108A - Greenbelt, 18988 40 Ave",0,1183,1001606929,Mature,Mixed,0,18988,,20130205,2,,entire lot,0,Parks,,108,,20130720,Forest-mixed,"108A - Greenbelt, 18988 40 Ave",Park,Parks,108A - Greenbelt,,N,Y,04000,,,OPERATING,,N,,,,,
176,3,,,,,,N,"Forest; Riverside Park, 14875 108A Ave",2,81,1001438811,Mature,Deciduous,0,14875,0,,3,0711-000000001,Few cottonwood in S.E. corner.,,PARKS,,013,,20121016,Forest-deciduous,"Riverside Park, 14875 108A Ave",Park,PARKS,Riverside Park,,N,N,10850,,,OPERATING,,N,,,,,
177,1,,,,,,N,"Forest; 2E - Greenbelt, 13705 115 Ave",0,119,1001438813,Mature,Deciduous,0,13705,0,,3,0711-000000250,Whole park,,PARKS,,002,,20121016,Forest-deciduous,"2E - Greenbelt, 13705 115 Ave",Park,PARKS,2E - Greenbelt,,N,Y,11500,,,OPERATING,20040820125200,N,,,,,
178,1,,Scotch broom along W. side of forest in the S.E. and scattered around forest boundary. ,,,,N,"Forest; Fraser View Park, 11210 159A St",2,1875,1001438814,Mature,Deciduous,0,11210,0,,3,0711-000000489,Various large sections of forest,,PARKS,,005,,20121016,Forest-deciduous,"Fraser View Park, 11210 159A St",Park,PARKS,Fraser View Park,,Y,Y,15950,,,OPERATING,20040824092400,N,,,,,
179,1,,,,,20090706,N,"Grassland; 75D - Greenbelt, 16551 Old McLellan Rd",1,3529,1001439199,,,1,16551,0,,1,0711-000001061,throughout site,130,Parks,,075,,20180119,Grassland,"75D - Greenbelt, 16551 Old McLellan Rd",Park,Parks,75D - Greenbelt,,Y,Y,05820,,,OPERATING,20090706150400,Y,,,,,
180,3,,English ivy on grnd. N. of 80 B Ave; see map for yd. wst. locat's ,,,,N,"Forest; Enver Creek Park, 8177 149 St",0,660,1001438702,Mature,Deciduous,0,08177,0,,3,0711-000000306,Whole lot except access from 149 St,,PARKS,,043,,20180119,Forest-deciduous,"43X - Greenbelt, 8177 149 St",Park,PARKS,Enver Creek Park,,Y,Y,14900,,,OPERATING,20040823090600,N,,,,,
181,3,,"Ivy on grnd. and 8m up trunks of 20-30 mature alders; few encroachments; hemlock, paper birch, black cottonwood also present; see map for refuse, etc. locations ",,,,N,"Forest; Enver Creek Park, 8170 146 St",0,1900,1001438704,Mature,Deciduous,0,08170,0,,3,0711-000000121,Most of park except S. of school and wildland grass E. of school,,Parks,,043,,20180122,Forest-deciduous,"Enver Creek Park, 8170 146 St",Park,Parks,Enver Creek Park,,Y,Y,14600,,,OPERATING,20010815074500,N,,,,,
182,3,,,,,20180122,N,"Forest; 129B - Greenbelt,  2010 192 St",0,1565,1001981073,Young,Mixed,0,02010,0,,3,1001439255,entire site,139,Parks,,129,,20121016,Forest-mixed,"129B - Greenbelt,  2010 192 St",Park,Parks,129B - Greenbelt,,N,Y,19200,,,OPERATING,20110602081400,N,,,,,
183,3,,,,,20170106,N,"Forest; Maple Park, 14939 84 Ave",2,207,1001901532,Mature,Mixed,0,14939,,20170119,4,,east end of park,91,Parks,,043,,20170106,Forest-mixed,"Maple Park, 14939 84 Ave",Park,Parks,Maple Park,,N,N,08400,,4,OPERATING,,N,,,,,
184,1,,"Fragmented stands with minimal understory; cedars in park are young, cottonwoods mature ",,,,N,"Forest; Kilkee Drive Park, 5804 Kilkee Dr",0,401,1001438786,Mature,Mixed,0,05804,0,,2,0711-000000514,Fragments in S. end,,PARKS,,074,,20170106,Forest-mixed,"Kilkee Drive Park, 5804 Kilkee Dr",Park,PARKS,Kilkee Drive Park,,Y,N,15469,,,OPERATING,20040824101200,N,,,,,
185,3,,,,,20090505,N,"Forest; Ware Park, 1464 131 St",2,313,1001439196,Mature,Mixed,0,01464,0,,4,0711-000001058,throughout most of site,190,Parks,,131,,20170301,Forest-mixed,"Ware Park, 1464 131 St",Park,Parks,Ware Park,,N,N,13100,,,OPERATING,20090505073600,N,,,,,
186,2,,See map for invasive spp. and yard waste locations.i     ,,,,N,"Forest; Elgin Estates Park, 14303 31 Ave",0,164,1001439058,Mature,Mixed,0,14303,0,,3,0711-000000069,All of lot,,PARKS,,112,,20170301,Forest-mixed,"Elgin Estates Park, 3102 142 St",Park,PARKS,Elgin Estates Park,,N,N,03100,,,OPERATING,20040819141700,N,,,,,
187,2,,,,,20130720,N,"Forest; McLeod Park, 6306 140 St",0,538,1001606925,Mature,Mixed,1,06306,,20130128,2,1001486786,entire lot,0,Parks,,072,,20160125,Forest-mixed,"McLeod Park, 6306 140 St",Park,Parks,McLeod Park,,N,Y,14000,,,OPERATING,,N,,,,,
188,3,,,,,20110602,N,"Forest; 129B - Greenbelt,  2010 192 St",0,1565,1001439255,Young,Mixed,0,02010,0,,3,0711-000001110,entire site,139,Parks,,129,,20180122,Forest-mixed,"129B - Greenbelt,  2010 192 St",Park,Parks,129B - Greenbelt,,N,Y,19200,,,OPERATING,20110602081400,N,,,,,
189,3,,,,,,N,"Forest; Meagan Anne MacDougall Park, 15385 90 Ave",2,546,1001438774,Mature,Mixed,0,15385,0,,3,0711-000000518,N. and S. ends.,,PARKS,,034,,20121016,Forest-mixed,"Meagan Anne MacDougall Park, 15385 90 Ave",Park,PARKS,Meagan Anne MacDougall Park,,N,N,09000,,,OPERATING,20040824102600,N,,,,,
190,1,,See map for yard waste and invasive spp. locations. ,,,,N,"Forest; Senator Reid Park - 71H, 6115 - 136 St",2,753,1001438792,Mature,Mixed,0,06115,0,,3,0711-000000013,Patches in the N.,,PARKS,,071,,20121016,Forest-mixed,"Senator Reid Park, 6115 136 St",Park,PARKS,Senator Reid Park,,N,N,13600,,,OPERATING,,N,,,,,
191,2,,,,,20161108,N,"Forest; 84C - Greenbelt,15244 54a Ave",1,250,1001896252,Young,Mixed,0,15244,,20160308,2,1001790584,entire lot,40,Parks,,084,,20161108,Forest-mixed,"84C - Greenbelt, 15244 54a Ave",Park,Parks,84C - Greenbelt,,Y,Y,05450,,,OPERATING,,N,,,,,
192,2,,"Large areas of grassland / shrubland; trees outside of taller stands are short yet appear mature, could be crabapple (could not ground-truth) ",,,,N,"Forest; 55F - Greenbelt, 7634 - 164 St",0,1748,1001438879,Mature,Mixed,0,07634,0,,4,0711-000000058,Various sized stands in lot,,PARKS,,055,,20170821,Forest-mixed,"55F - Greenbelt, 7634 164 St",Park,PARKS,55F - Greenbelt,,Y,Y,16400,,,OPERATING,,N,,,,,
193,2,,Low land flooding. Some grasses becoming shrubland. ,,,,N,"Shrubland; 55F - Greenbelt, 7634 164 St",0,2127,1001439028,,,0,07634,0,,4,0711-000000344,throughout site,,PARKS,,055,,20170821,Shrubland,"55F - Greenbelt, 7634 164 St",Park,PARKS,55F - Greenbelt,,Y,N,16400,,,OPERATING,20040823103500,N,,,,,
194,2,,"Him. bb. through out linear frst.; compacted grnd. at S. end of park at 148 St where vehicles have pulled up to strm. in past, should be re-planted; one encroachment up to strm. bank and one with small bike ramps nailed to trees (see map for all locat's) ",,,,N,"Forest; 43C - Greenbelt, 14934 88 Ave",0,983,1001438867,Mature,Deciduous,0,14934,0,,4,0711-000001025,Most of lot,,Parks,,043,,20170131,Forest-deciduous,"43C - Greenbelt, 14934 88 Ave",Park,Parks,43C - Greenbelt,,Y,Y,08800,,,OPERATING,20021029153800,N,,,,,
195,1,,"Wet shrubland subject to invasives, blackberry present",,,,N,"Shrubland; Bothwell Park, 9435 168 St",0,328,1001439140,,,0,09435,0,,1,0711-000000124,SE portion of site,,PARKS,,035,,20170209,Shrubland,"Bothwell Park, 9435 168 St",Park,PARKS,Bothwell Park,,N,Y,16800,,,OPERATING,20060410084700,N,,,,,
196,2,,,,,20090915,N,"Shrubland; Barbara Creek Park, 15053 34 Ave",0,386,1001439222,,,0,03654,0,,3,0711-000001082,most of site,,Parks,,103,,20180105,Shrubland,"Barbara Creek Park, 15053 34 Ave",Park,Parks,Barbara Creek Park,,Y,Y,49901,,,OPERATING,20090915153000,N,,,,,
197,2,,Lots of Himalayan blackberry in the understory. ,,,,N,"Forest; Hunter Park - 88A, 5480 - 184A St",2,280,1001438855,Mature,Deciduous,0,05480,0,,2,0711-000000023,E. side of park,,PARKS,,088,,20121016,Forest-deciduous,"Hunter Park - 88A, 5480 184A St",Park,PARKS,Hunter Park,,N,N,18450,,,OPERATING,,N,,,,,
198,3,,"Undestory is mainly Himal. bb.; see map for tree and ground forts, refuse, and yd. wst. locat's; cleared and compacted grnd. in E.; several dead and dying birch ",,,,N,"Forest; Kurtenacker Park, 9078 162A St",2,360,1001438864,Mature,Deciduous,0,09078,0,,4,0711-000000278,south portion of site,135,PARKS,,035,,20130417,Forest-deciduous,"Kurtenacker Park, 9078 162A St",Park,PARKS,Kurtenacker Park,,N,N,16250,,,OPERATING,20040820142800,N,,,,,
199,3,,,,,20140408,N,"Forest; Douglas Park, 15044 - 99A Ave",2,,1001740488,Mature,Mixed,0,15044,,,3,,throughout park,,Parks,,023,,,Forest-mixed,,Park,Parks,Douglas Park,,N,N,09950,,,OPERATING,,N,,,,,
200,3,,,,,20091006,N,"Forest; 88D - Greenbelt, 18981 54 Ave",0,514,1001439232,Young,Mixed,0,18981,0,,4,0711-000001091,linear portion of site,95,Parks,,088,,20160616,Forest-mixed,"88D - Greenbelt, 18981 54 Ave",Park,Parks,88D - Greenbelt,,Y,Y,05400,,,OPERATING,20091006130200,N,,,,,
201,1,,encroachments onto ROW  ,,,,N,"Shrubland; 31E - Utility ROW, 13378 92 Ave",2,1030,1001439152,,,0,13378,0,,2,0711-000000253,Middle of lot,,PARKS,,031,,20121016,Shrubland,"31E - Utility ROW, 13378 92 Ave",Park,PARKS,31E - Utility ROW,,Y,N,09200,,,OPERATING,20040820130300,N,,,,,
202,1,,yard waste on S. edge (see map).  ,,,,N,"Forest; 48A - Greenbelt, 18918 88 Ave",0,476,1001438711,Mature,Deciduous,0,18918,0,,4,0711-000000328,Most of property,,PARKS,,048,,20121016,Forest-deciduous,"48A - Greenbelt, 18918 88 Ave",Park,PARKS,48A - Greenbelt,,N,Y,08800,,,OPERATING,20040823095800,N,,,,,
203,2,,"Several cedars topped, logs left behind; Himal. bl. berry in and around stands which are fairly open  ",,,,N,"Forest; Brookside Park, 14201 - 84A Ave",2,161,1001438722,Mature,Deciduous,0,14201,0,,4,0711-000000005,E. Edge Of Park,,PARKS,,042,,20121016,Forest-deciduous,"Brookside Park, 14201 84A Ave",Park,PARKS,Brookside Park,,N,N,08450,,,OPERATING,,N,,,,,
204,1,,,,,,N,"Forest; Robertson Drive Park, 12730 92 Ave",2,782,1001438818,Mature,Deciduous,4,12730,0,,4,0711-000000545,N.W. corner of park and a strip in the south.,,PARKS,,030,,20121016,Forest-deciduous,"Robertson Drive Park, 12730 92 Ave",Park,PARKS,Robertson Drive Park,,N,N,09200,,,OPERATING,20040824111600,Y,,,,,
205,1,,Scattered litter and Him. bb. thru. out; English ivy over 10m up cedar and on grnd.  Major knotweed as well. ,,,,N,"Forest; 43V - Greenbelt, 15177 81 Ave",0,132,1001438869,Mature,Coniferous,0,15177,0,,2,0711-000000302,Most of lot except S. section,,PARKS,,043,,20121016,Forest-coniferous,"43V - Greenbelt, 15177 81 Ave",Park,PARKS,43V - Greenbelt,,N,N,08100,,,OPERATING,20040823084600,Y,,,,,
206,3,,,,,,N,"Forest; Serpentine Headwaters Park, 10295 158 St",0,642,1001438901,Mature,Mixed,0,10295,0,,3,0711-000000145,Patches at the W. and E. ends.,,PARKS,,024,,20171106,Forest-mixed,"Serpentine Headwaters Park, 10295 158 St",Park,PARKS,Serpentine Headwaters Park,,Y,N,15800,,,OPERATING,20010822085600,Y,,,,,
207,2,,"English ivy thru. out park, worse in W. ; large grassland and shrubland components; see map for details ",,,,N,"Forest; Guy Richardson Park, 16940 Friesian Dr",0,579,1001438853,Mature,Coniferous,3,16940,0,,2,0711-000000494,Most of park except S.W. and S.E. corners,,PARKS,,076,,20121016,Forest-coniferous,"Guy Richardson Park, 16940 Friesian Dr",Park,PARKS,Guy Richardson Park,,Y,N,05760,,,OPERATING,20040824093800,Y,,,,,
208,1,,Exotic shrubs near front and S. edge; english holly present   ,,,,N,"Forest; 131A - Greenbelt, 12945 15 Ave",2,77,1001439033,Mature,Coniferous,0,12945,0,,4,0711-000000151,Whole lot,,PARKS,,131,,20121016,Forest-coniferous,"131A - Greenbelt, 12945 15 Ave",Park,PARKS,131A - Greenbelt,,N,N,01500,,,OPERATING,20040820084100,N,,,,,
209,1,,Unsanctioned trail runs to the beach.  Blackberry at north end of NA   ,,,,N,"Forest; 131D - Greenbelt, 13596 13A Ave",0,91,1001439021,Mature,Coniferous,0,13596,0,,4,0711-000000158,South portion of lot,,PARKS,,131,,20121016,Forest-coniferous,"131D - Greenbelt, 13596 13A Ave",Park,PARKS,131D - Greenbelt,,Y,N,01350,,,OPERATING,20040820085000,N,,,,,
210,3,,,,,20130721,N,"Forest; Bonnie Schrenk Park, 16500 84 Ave",0,1268,1001606946,Mature,Mixed,0,16500,,20130117,3,,throughout site,8,Parks,,045,,20130721,Forest-mixed,"Bonnie Schrenk Park, 16510 84 Ave",Park,Parks,Bonnie Shrenk Park,,N,Y,08400,,,OPERATING,,N,,,,,
211,3,,,,,20130721,N,"Forest; 146E - Greenbelt, 17156 4 Ave",1,524,1001606941,Mature,Deciduous,0,17156,,20130205,4,1001606940,entire lot,86,Parks,,146,,20130721,Forest-deciduous,"146E - Greenbelt, 17156 4 Ave",Park,Parks,146E - Greenbelt,,N,Y,00400,,,OPERATING,,N,,,,,
212,2,,,,,20130721,N,"Forest; 146F - Greenbelt, 17001 1 Ave",1,261,1001606944,Mature,Deciduous,0,17001,,20130220,2,,entire lot,0,Parks,,146,,20130721,Forest-deciduous,"146F - Greenbelt, 17001 1 Ave",Park,Parks,146F - Greenbelt,,N,Y,00100,,,OPERATING,,N,,,,,
213,2,,Understory is largely Himalayan blackberry. ,,,,N,"Forest; 79B - Greenbelt, 19436 62 Ave",2,57,1001438847,Young,Coniferous,0,19436,0,,1,0711-000000403,S.W. corner.,,PARKS,,079,,20121016,Forest-coniferous,"79B - Greenbelt, 19436 62 Ave",Park,PARKS,79B - Greenbelt,,N,N,06200,,,OPERATING,20040823134300,N,,,,,
214,3,,See map for invasive spp. and yard waste location.     ,,,,N,"Forest; 14D - Greenbelt, 15274 111A Ave",2,521,1001438904,Mature,Deciduous,0,15274,0,,3,0711-000000177,Most of lot,,PARKS,,014,,20161108,Forest-deciduous,"14D - Greenbelt, 15274 111A Ave",Park,PARKS,14D - Greenbelt,,N,N,11150,,,OPERATING,20040820094600,N,,,,,
215,3,,English ivy climbing few trees in N.E.; Himal. bb. thru. out frst.; small trailer being stored at end of 85 Ave ROW in W. ,,,,N,"Forest; Price Creek Park, 14734 84A Ave",0,516,1001438868,Mature,Deciduous,0,14734,0,,3,0711-000000298,Whole lot,,PARKS,,043,,20180122,Forest-deciduous,"Price Creek Park, 14734 84A Ave",Park,PARKS,Price Creek Park,,N,Y,08450,,,OPERATING,20040823083600,N,,,,,
216,3,,"Nature trail network by creek, N. of 8191 148A St  ",,,,N,"Forest; Price Creek Park, 8732 146 St",0,1897,1001438866,Mature,Deciduous,0,08732,0,,3,0711-000000297,Whole lot,,PARKS,,043,,20180122,Forest-deciduous,"Price Creek Park, 8732 146 St",Park,PARKS,Price Creek Park,,Y,Y,14600,,,OPERATING,20040823082800,N,,,,,
217,2,,Many of the alder trees are young; understory trampled in some spots. ,,,,N,"Forest; 34A - Utility ROW, 15472 - 95A Ave",2,151,1001438861,Mature,Mixed,4,15472,0,,2,0711-000000021,Small pocket about midway along property to the S. of trail and ROW.,,PARKS,,034,,20170126,Forest-mixed,"34A - Utility ROW, 15472 95A Ave",Park,PARKS,34A - Utility ROW,,N,N,09550,,,OPERATING,,Y,,,,,
218,1,,,,,,N,"Forest; Shannon Hill Park, 18320 54 Ave",0,533,1001438799,Mature,Mixed,0,18320,0,19990828,2,0711-000000072,E. end of park.,,Parks,,087,,20121016,Forest-mixed,"Shannon Hill Park, 18320 54 Ave",Park,Parks,Shannon Hill Park,,N,N,05400,,,OPERATING,20000828155400,N,,,,,
219,2,,Understory under young alder areas primarily Him. blk.bry. ,,,,N,"Forest; Coast Meridian Park, 8225 170 St",0,1159,1001438802,Mature,Mixed,0,08232,0,,3,0711-000000201,Lower third of park and linear strip along N. edge,,Parks,,046,,20140110,Forest-mixed,"Coast Meridian Park, 8225 170 St",Park,Parks,Coast Meridian Park,,Y,Y,16900,,,OPERATING,20011211081100,Y,,,,,
