,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,MATERIAL,OPERATOR,ROUTE_TYPE2,STATUS,TREES_PLANTED
316,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
317,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
318,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
319,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
320,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
321,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
322,Neighbourhood Bike Route,,Multi-use,Green Timbers Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,
323,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
324,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
325,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
326,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
327,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
328,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
329,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
330,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
331,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
332,Bike Lanes,,,,,Asphalt,,Bike Route,In Service,
333,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
334,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
335,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
336,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
337,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
338,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
339,Neighbourhood Bike Route,,Multi-use,North Creek Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,No
340,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
341,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
342,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
343,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
344,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
345,Shared Traffic,,,,,,Engineering,Bike Route,In Service,
346,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
347,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
348,Bike Lanes,,,,,Asphalt,,Bike Route,In Service,
349,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
350,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
351,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
352,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
353,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
354,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
355,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
356,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
357,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
358,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
359,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
360,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
361,Neighbourhood Bike Route,,Multi-use,Green Timbers Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,No
362,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
363,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
364,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
365,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
366,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
367,Protected Bike Lanes,,,,,Asphalt,,Bike Route,Proposed,
368,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
369,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
370,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
371,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
372,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
373,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
374,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
375,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
376,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
377,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
378,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
379,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
380,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
381,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
382,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
383,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
384,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
385,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
386,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
387,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
388,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
389,Cycling-Permitted Sidewalk,,Multi-use,Bon Accord Greenway,Greenway,Concrete,Engineering,Bike Route,In Service,
390,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
391,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
392,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
393,Neighbourhood Bike Route,,,Port Mann- Surrey Centre NBR,,Asphalt,Engineering,Bike Route,In Service,No
394,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
395,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
396,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
397,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
398,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
399,Bike Lanes,,,,,,Engineering,Bike Route,In Service,
400,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
401,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
402,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
403,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
404,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
405,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
406,Neighbourhood Bike Route,,Multi-use,Port Mann Greenway,Greenway,Other,Engineering,Bike Route,In Service,
407,Neighbourhood Bike Route,,Multi-use,Port Mann Greenway,Greenway,Other,Engineering,Bike Route,In Service,
408,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
409,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
410,Cycling-Permitted Sidewalk,,Multi-use,Douglas Greenway,Greenway,Asphalt Concrete,Engineering,Bike Route,In Service,No
411,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
412,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
413,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
414,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
415,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
416,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
417,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
418,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
419,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
420,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
421,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
422,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
423,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
424,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
425,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
426,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
427,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
428,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
429,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
430,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
431,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
432,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
433,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
434,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
435,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
436,Bike Lanes,,,,Engineering,Asphalt,,Bike Route,In Service,
437,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
438,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
439,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
440,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
441,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
442,Bike Lanes,,,,,,Engineering,Bike Route,In Service,
443,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
444,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
445,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
446,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
447,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
448,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
449,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
450,Bike Lanes,,,,,,,Bike Route,,
451,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
452,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
453,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
454,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
455,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
456,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
457,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
458,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
459,Protected Bike Lanes,,,,,Asphalt,,Bike Route,Proposed,
460,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
461,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
462,Protected Bike Lanes,,,,,,,Bike Route,Proposed,
463,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
464,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
465,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
466,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
467,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
468,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
469,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
470,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
471,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
472,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
473,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
474,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
475,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
476,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
477,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
478,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
479,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
480,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
481,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
482,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
483,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
484,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
485,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
486,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
487,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
488,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
489,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
490,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
491,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
492,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
493,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
494,Neighbourhood Bike Route,,Multi-use,Green Timbers Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,
495,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
496,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
497,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
498,Protected Bike Lanes,,Multi-use,,Engineering,,Engineering,Bike Route,Proposed,
499,Protected Bike Lanes,,Multi-use,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
500,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
501,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
502,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
503,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
504,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
505,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
506,Cycling-Permitted Sidewalk,,,,,Asphalt,Engineering,Bike Route,In Service,No
507,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
508,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
509,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
510,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
511,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
512,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
513,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
514,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
515,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
516,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
517,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
518,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
519,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
520,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
521,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
522,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
523,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
524,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
525,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
526,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
527,Cycling-Permitted Sidewalk,,Multi-use,Nicomekl Greenway,Greenway,Gravel,Engineering,Bike Route,In Service,No
528,Neighbourhood Bike Route,,Multi-use,Mud Bay Dike Trail,Greenway,Asphalt,Engineering,Bike Route,In Service,
529,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
530,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
531,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
532,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
533,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
534,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
535,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
536,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
537,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
538,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
539,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
540,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
541,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
542,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
543,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
544,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
545,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
546,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
547,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
548,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
549,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
550,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
551,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
552,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
553,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
554,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
555,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
556,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
557,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
558,Bike Lanes,,Transportation,,Engineering,,,Bike Route,In Service,
559,Shared Traffic,,Transportation,,Engineering,,,Bike Route,In Service,
560,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
561,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
562,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
563,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
564,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
565,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
566,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
567,Cycling-Permitted Sidewalk,,Transportation,,Engineering,Concrete,Engineering,Bike Route,In Service,
568,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
569,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
570,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
571,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
572,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
573,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
574,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
575,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
576,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
577,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
578,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
579,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
580,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
581,Bike Lanes,,Transportation,,Engineering,,,Bike Route,In Service,
582,Neighbourhood Bike Route,,Multi-use,Hook Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,No
583,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
584,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
585,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
586,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
587,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
588,Neighbourhood Bike Route,,,Port Mann- Surrey Centre NBR,,Asphalt,Engineering,Bike Route,In Service,No
589,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
590,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
591,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
592,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
593,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
594,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
595,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
596,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
597,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
598,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
599,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
600,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
601,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
602,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
603,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
604,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
605,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
606,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
607,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
608,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
609,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
610,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
611,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
612,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
613,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
614,Shared Traffic,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
615,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
616,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
617,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
618,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
619,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
620,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
621,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
622,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
623,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
624,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
625,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
626,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
627,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
628,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
629,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
630,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
631,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
632,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
633,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
634,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
635,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
636,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
637,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
