,TEMPEST_ACCOUNT_NO,HOUSE_NO,STREET,CRE_DATE,MOD_DATE,Latitude,Longitude
4060,335768,14308,103A AVE,,,49.190396,-122.825474
4061,335772,10204,143 ST,,,49.188017,-122.825667
4062,337389,13012,101 AVE,,,49.186275,-122.861820
4063,337400,10073,SEMIAHMOO RD,,,49.185764,-122.860685
4064,337406,13065,101 AVE,,,49.186307,-122.860155
4065,337407,10023,128A ST,,,49.184805,-122.866298
4066,337408,10037,128A ST,,,49.185095,-122.866296
4067,337409,10045,128A ST,,,49.185294,-122.866309
4068,337414,10080,128 ST,,,49.185958,-122.867385
4069,337416,13081,OLD YALE RD,,,49.188555,-122.859167
4070,337419,10030,128 ST,,,49.184992,-122.867363
4071,337420,10008,128 ST,,,49.184601,-122.867371
4072,337425,13063,OLD YALE RD,,,49.188905,-122.859921
4073,337426,13095,103A AVE,,,49.190889,-122.859328
4074,337427,13109,103A AVE,,,49.190884,-122.859089
4075,337435,10268,129 ST,,,49.189280,-122.864377
4076,337440,10263,MICHEL PL,,,49.189200,-122.858096
4077,337441,13038,101B AVE,,,49.187566,-122.861064
4078,337444,13145,OLD YALE RD,,,49.188123,-122.857938
4079,337449,10267,129A ST,,,49.189265,-122.863466
4080,337451,10247,129A ST,,,49.188920,-122.863431
4081,337454,13083,103A AVE,,,49.190890,-122.859755
4082,337456,13107,OLD YALE RD,,,49.188374,-122.858662
4083,337462,10106,129 ST,,,49.186331,-122.864393
4084,337464,10128,SEMIAHMOO RD,,,49.186705,-122.860981
4085,337466,10134,SEMIAHMOO RD,,,49.186876,-122.861070
4086,337469,10297,129A ST,,,49.189778,-122.863480
4087,337473,13114,103 AVE,,,49.189698,-122.858908
4088,337476,10041,SEMIAHMOO RD,,,49.185205,-122.860203
4089,337478,13040,OLD YALE RD,,,49.188956,-122.861042
4090,337479,10234,SEMIAHMOO RD,,,49.188607,-122.861502
4091,337480,10220,SEMIAHMOO RD,,,49.188392,-122.861470
4092,337483,10140,SEMIAHMOO RD,,,49.186884,-122.860479
4093,337484,12845,100 AVE,,,49.184561,-122.866506
4094,337485,10027,SEMIAHMOO RD,,,49.184864,-122.860278
4095,337486,10142,SEMIAHMOO RD,,,49.186958,-122.860486
4096,337497,12592,102 AVE,,,49.187948,-122.873319
4097,337507,12421,PARK (101B AVE) DR,,,49.187562,-122.878249
4098,337534,10267,124 ST,,,49.189401,-122.878392
4099,361405,6671,130A ST,,,49.123975,-122.861290
4100,361424,6586,130A ST,,,49.122613,-122.860675
4101,361425,6570,130A ST,,,49.122338,-122.860671
4102,361439,6519,131 ST,,,49.121388,-122.859566
4103,361441,6535,131 ST,,,49.121658,-122.859570
4104,325201,14745,109A AVE,,,49.201616,-122.813928
4105,366280,7471,143B ST,,,49.138617,-122.825938
4106,366284,7320,141A ST,,,49.135867,-122.830071
4107,366285,14354,74A AVE,,,49.138088,-122.826225
4108,366286,7463,143B ST,,,49.138480,-122.825937
4109,366287,14137,75 AVE,,,49.139233,-122.830680
4110,366290,7330,141A ST,,,49.136045,-122.830073
4111,366295,14145,75 AVE,,,49.139236,-122.830388
4112,366298,7429,143A ST,,,49.137846,-122.826868
4113,366299,14351,74A AVE,,,49.138355,-122.826487
4114,366303,14177,75 AVE,,,49.139241,-122.829803
4115,366304,7437,143A ST,,,49.138001,-122.826867
4116,366308,7447,143A ST,,,49.138150,-122.826868
4117,366309,14343,74A AVE,,,49.138348,-122.826786
4118,366313,7386,140 ST,,,49.137049,-122.834231
4119,366314,14339,74A AVE,,,49.138270,-122.826860
4120,366317,14222,75 AVE,,,49.138968,-122.828810
4121,366318,7390,141A ST,,,49.137112,-122.830082
4122,366322,14248,75 AVE,,,49.138974,-122.828051
4123,366324,7536,140 ST,,,49.139754,-122.834250
4124,366325,7546,140 ST,,,49.139933,-122.834251
4125,366326,7556,140 ST,,,49.140111,-122.834253
4126,366328,7555,140A ST,,,49.140097,-122.833511
4127,366331,14054,75A AVE,,,49.139754,-122.833005
4128,366332,14193,72 AVE,,,49.133874,-122.829149
4129,366335,7379,142 ST,,,49.136734,-122.829111
4130,366339,7339,142 ST,,,49.136239,-122.828943
4131,366343,7304,142 ST,,,49.135501,-122.828898
4132,366347,7315,142 ST,,,49.135734,-122.829317
4133,366349,14082,75A AVE,,,49.139760,-122.832235
4134,366352,14199,72A AVE,,,49.135014,-122.829039
4135,366365,14098,75A AVE,,,49.139765,-122.831734
4136,366367,14270,72A AVE,,,49.134528,-122.826904
4137,366388,14267,72 AVE,,,49.133894,-122.826921
4138,366389,7533,143 ST,,,49.139718,-122.827552
4139,366393,14137,72 AVE,,,49.133859,-122.830780
4140,366404,14197,75A AVE,,,49.140112,-122.829217
4141,366406,14179,75A AVE,,,49.140108,-122.829733
4142,366416,7387,TODD CR,,,49.137148,-122.833348
4143,366417,7371,TODD CR,,,49.136824,-122.833301
4144,366419,7347,TODD CR,,,49.136352,-122.833297
4145,366420,7339,TODD CR,,,49.136195,-122.833296
4146,366425,7285,140A ST,,,49.135091,-122.833280
4147,366433,7258,140A ST,,,49.134467,-122.832640
4148,366435,7268,140A ST,,,49.134676,-122.832735
4149,366440,7334,TODD CR,,,49.136026,-122.832883
4150,366442,7356,TODD CR,,,49.136484,-122.832887
4151,366448,14059,72 AVE,,,49.133840,-122.832792
4152,366456,7590,142 ST,,,49.140793,-122.828719
4153,366457,7602,142 ST,,,49.140978,-122.828506
4154,366460,7575,143 ST,,,49.140453,-122.826990
4155,366467,7484,140 ST,,,49.138858,-122.834244
4156,366468,14040,75 AVE,,,49.138882,-122.833571
4157,366470,14062,75 AVE,,,49.138888,-122.832919
4158,366471,14070,75 AVE,,,49.138890,-122.832702
4159,366473,14094,75 AVE,,,49.138896,-122.832050
4160,366475,14116,75 AVE,,,49.138902,-122.831386
4161,366484,7450,140 ST,,,49.138286,-122.834239
4162,366487,7576,140 ST,,,49.140481,-122.834255
4163,366488,7573,140A ST,,,49.140481,-122.833514
4164,366500,14110,72A AVE,,,49.134461,-122.831464
4165,366501,14087,72A AVE,,,49.134734,-122.831865
4166,366502,14107,72A AVE,,,49.134695,-122.831664
4167,366503,14123,72A AVE,,,49.134693,-122.831140
4168,366522,7310,141 ST,,,49.135851,-122.831429
4169,366525,7341,141 ST,,,49.136390,-122.831700
4170,366534,7375,141A ST,,,49.136921,-122.830464
4171,366535,7383,141A ST,,,49.137086,-122.830466
4172,366536,14102,74 AVE,,,49.137360,-122.831535
4173,366546,7415,141A ST,,,49.137614,-122.830463
4174,366549,7444,TODD CR,,,49.138144,-122.831562
4175,366550,7438,TODD CR,,,49.138129,-122.831819
4176,366553,7408,TODD CR,,,49.137631,-122.832930
4177,366555,7403,TODD CR,,,49.137348,-122.833328
4178,366558,7421,TODD CR,,,49.137897,-122.833231
4179,366561,7457,TODD CR,,,49.138375,-122.833114
4180,331603,15878,99A AVE,,,49.183248,-122.782584
4181,331605,15739,96A AVE,,,49.177920,-122.786134
4182,331606,9956,159A ST,,,49.183353,-122.779871
4183,331607,15980,98 AVE,,,49.180314,-122.779426
4184,331609,15867,97A AVE,,,49.179856,-122.782673
4185,331612,15990,98 AVE,,,49.180365,-122.779297
4186,331615,15723,96A AVE,,,49.177923,-122.786610
4187,331617,9970,159A ST,,,49.183578,-122.779841
4188,331621,9978,159A ST,,,49.183634,-122.779984
4189,331623,15843,97A AVE,,,49.179861,-122.783347
4190,331626,15837,97A AVE,,,49.179861,-122.783570
4191,331634,9919,159A ST,,,49.182864,-122.780340
4192,331638,9911,159A ST,,,49.182731,-122.780332
4193,331651,9884,158A ST,,,49.182058,-122.783384
4194,331662,15725,99A AVE,,,49.183542,-122.786306
4195,332600,13966,116 AVE,,,49.213180,-122.835062
4196,332601,13735,114A AVE,,,49.210689,-122.841455
4197,332602,13740,114A AVE,,,49.210360,-122.841241
4198,332603,13917,113 AVE,,,49.207818,-122.836572
4199,332609,13957,115A AVE,,,49.212563,-122.835306
4200,332611,13747,114A AVE,,,49.210689,-122.841202
4201,332630,13916,113A AVE,,,49.208444,-122.836591
4202,332635,13943,115A AVE,,,49.212564,-122.835753
4203,332636,11376,136 ST,,,49.209072,-122.845013
4204,332645,13781,114A AVE,,,49.210690,-122.840256
4205,332656,13915,115A AVE,,,49.212569,-122.836430
4206,332662,13911,115A AVE,,,49.212555,-122.836649
4207,332666,13944,114 AVE,,,49.209388,-122.835737
4208,332668,11439,139A ST,,,49.210225,-122.835811
4209,332672,13780,114 AVE,,,49.209412,-122.840280
4210,332673,11438,139 ST,,,49.210246,-122.836699
4211,332674,13918,115A AVE,,,49.212340,-122.836326
4212,332676,13931,113A AVE,,,49.208767,-122.836118
4213,332677,11365,137A ST,,,49.208887,-122.841357
4214,332680,13932,115A AVE,,,49.212337,-122.836036
4215,332684,13944,115A AVE,,,49.212335,-122.835716
4216,332687,11411,139A ST,,,49.209786,-122.835743
4217,332688,13956,115A AVE,,,49.212330,-122.835410
4218,332690,11337,137A ST,,,49.208357,-122.841368
4219,332691,13929,114 AVE,,,49.209717,-122.836094
4220,332693,13773,114 AVE,,,49.209739,-122.840569
4221,332694,13915,113A AVE,,,49.208765,-122.836584
4222,332696,13980,115A AVE,,,49.212323,-122.834774
4223,332697,11321,136A ST,,,49.207968,-122.844090
4224,332700,13996,115A AVE,,,49.212327,-122.834467
4225,332715,13768,114A AVE,,,49.210366,-122.840563
4226,332717,13756,114A AVE,,,49.210367,-122.840878
4227,332720,11366,136A ST,,,49.208912,-122.843623
4228,332724,13678,113 AVE,,,49.207530,-122.843169
4229,332728,13895,PARK (PMT) DR,,,49.206808,-122.837030
4230,332729,11260,136 ST,,,49.207107,-122.845038
4231,332742,13641,112A AVE,,,49.207056,-122.844208
4232,332743,13868,113 AVE,,,49.207498,-122.837781
4233,332744,13627,112A AVE,,,49.207063,-122.844503
4234,332745,13661,113 AVE,,,49.207855,-122.843634
4235,332752,13851,112A AVE,,,49.207068,-122.838352
4236,332757,13808,112A AVE,,,49.206753,-122.839462
4237,332758,13813,112 AVE,,,49.206298,-122.839490
4238,332759,13823,112 AVE,,,49.206296,-122.839224
4239,332760,13843,112 AVE,,,49.206300,-122.838671
4240,332761,13853,112 AVE,,,49.206293,-122.838392
4241,332766,13980,113 AVE,,,49.207478,-122.834808
4242,332770,11244,PARK PL,,,49.206892,-122.835134
4243,332774,13670,112A AVE,,,49.206794,-122.843279
4244,332775,13673,112A AVE,,,49.207042,-122.843269
4245,332777,13948,113A AVE,,,49.208438,-122.835415
4246,332782,13697,115 AVE,,,49.211649,-122.842741
4247,332784,11525,140 ST,,,49.211911,-122.834415
4248,332785,13995,115 AVE,,,49.211556,-122.834675
4249,332787,13793,115 AVE,,,49.211634,-122.839825
4250,332788,13856,116 AVE,,,49.213197,-122.838126
4251,332793,11588,138B ST,,,49.213024,-122.837330
4252,332803,13753,114 AVE,,,49.209741,-122.840999
4253,332807,13777,115 AVE,,,49.211681,-122.840409
4254,332811,11470,139A ST,,,49.210864,-122.835311
4255,332814,13964,115 AVE,,,49.211310,-122.835135
4256,332816,13687,112 AVE,,,49.206318,-122.842941
4257,332819,11528,140 ST,,,49.211874,-122.833925
4258,332823,11468,140 ST,,,49.210867,-122.833933
4259,332825,11519,140A ST,,,49.211807,-122.832777
4260,356690,5784,133 ST,,,49.107928,-122.853701
4261,356693,5766,133 ST,,,49.107697,-122.853706
4262,356696,5742,133 ST,,,49.107248,-122.853716
4263,356705,5900,135 ST,,,49.109938,-122.848148
4264,356718,5970,135 ST,,,49.111137,-122.848122
4265,356729,5825,135 ST,,,49.108634,-122.848547
4266,356741,13324,58B AVE,,,49.109151,-122.855065
4267,356744,13338,58B AVE,,,49.109019,-122.854477
4268,356780,5875,132 ST,,,49.109624,-122.856941
4269,356795,12916,60 AVE,,,49.111669,-122.864547
4270,356796,5698,128 ST,,,49.106168,-122.867562
4271,356801,5715,132 ST,,,49.106669,-122.856991
4272,356802,13122,NO 10 (58 AVE) HWY,,,49.106780,-122.858912
4273,356803,12964,60 AVE,,,49.111680,-122.863142
4274,356825,13010,64 AVE,,,49.118897,-122.862087
4275,356827,6353,129 ST,,,49.118262,-122.865348
4276,356829,13028,64 AVE,,,49.118881,-122.861570
4277,356830,12808,63B AVE,,,49.118159,-122.867492
4278,356832,12875,62 AVE,,,49.115586,-122.865837
4279,356836,6061,132 ST,,,49.112920,-122.856882
4280,356841,13147,63A AVE,,,49.118265,-122.858556
4281,356842,12822,63B AVE,,,49.118161,-122.867222
4282,356843,12863,62 AVE,,,49.115586,-122.866072
4283,342059,14188,KINDERSLEY DR,,,49.205114,-122.828874
4284,342060,14099,115 AVE,,,49.211906,-122.831404
4285,342063,11335,GLEN AVON DR,,,49.208716,-122.810801
4286,342064,11337,GLEN AVON DR,,,49.208716,-122.810801
4287,342066,14030,KALMAR RD,,,49.206368,-122.834182
4288,342067,14032,KALMAR RD,,,49.206423,-122.834083
4289,342068,13986,KALMAR RD,,,49.206175,-122.834553
4290,342074,14769,ST ANDREWS DR,,,49.210751,-122.813364
4291,342079,12588,16 AVE,,,49.031180,-122.873567
4292,342197,1454,129A ST,,,49.028580,-122.864014
4293,342204,12850,MARINE DR,,,49.027081,-122.866094
4294,342222,12883,14A AVE,,,49.028892,-122.865223
4295,342234,1362,129 ST,,,49.026900,-122.865118
4296,342286,1422,128A ST,,,49.028047,-122.866218
4297,342289,1334,129A ST,,,49.026482,-122.864018
4298,342335,1316,129A ST,,,49.026071,-122.864019
4299,342340,1393,131 ST,,,49.027403,-122.859440
4300,342348,1321,131 ST,,,49.026082,-122.859446
4301,342356,13079,14 AVE,,,49.027799,-122.859809
4302,342360,12981,MARINE DR,,,49.027286,-122.862373
4303,342396,1335,129B ST,,,49.026469,-122.863346
4304,342411,13155,MARINE DR,,,49.026911,-122.857752
4305,342481,1544,128A ST,,,49.030312,-122.866231
4306,342503,1373,129 ST,,,49.027039,-122.865549
4307,342526,13026,15A AVE,,,49.030228,-122.861205
4308,342527,13028,15A AVE,,,49.030228,-122.861205
4309,342543,13407,MARINE DR,,,49.027427,-122.850638
4310,342627,1319,133A ST,,,49.026059,-122.852186
4311,342638,1582,132 ST,,,49.030982,-122.856253
4312,342640,13221,14A AVE,,,49.028692,-122.855970
4313,342657,13519,14 AVE,,,49.027984,-122.847807
4314,342660,13441,MARINE DR,,,49.027196,-122.849690
4315,342689,13536,13A AVE,,,49.025687,-122.847053
4316,342713,13307,MARINE DR,,,49.027068,-122.853531
4317,342719,13412,16 AVE,,,49.031078,-122.850426
4318,363327,6759,124A ST,,,49.125763,-122.877670
4319,363331,6401,124A ST,,,49.119930,-122.877340
4320,363332,12606,67B AVE,,,49.125766,-122.873150
4321,363334,12185,64 AVE,,,49.119427,-122.885071
4322,363335,6515,122 ST,,,49.121475,-122.884766
4323,363339,12323,64 AVE,,,49.119397,-122.881111
4324,363340,6558,124A ST,,,49.121979,-122.877285
4325,363341,6483,123 ST,,,49.120686,-122.881871
4326,363343,12758,67A AVE,,,49.124970,-122.869014
4327,363348,6745,124A ST,,,49.125461,-122.877673
4328,363350,12315,64 AVE,,,49.119400,-122.881348
4329,363351,6478,123A ST,,,49.120609,-122.880120
4330,363353,12415,64 AVE,,,49.119366,-122.878222
4331,363354,12620,67B AVE,,,49.125754,-122.872737
4332,363357,6733,124A ST,,,49.125311,-122.877674
4333,363361,6402,124 ST,,,49.119413,-122.878795
4334,363363,12742,67A AVE,,,49.124986,-122.869424
4335,363364,6716,124A ST,,,49.125052,-122.877237
4336,363366,6694,123A ST,,,49.124701,-122.880207
4337,363367,6484,122A ST,,,49.120760,-122.882932
4338,363372,6713,124A ST,,,49.125009,-122.877678
4339,363374,6426,124 ST,,,49.119781,-122.878800
4340,363375,12642,67B AVE,,,49.125759,-122.872084
4341,363376,12728,67A AVE,,,49.124989,-122.869836
4342,363377,6736,124A ST,,,49.125409,-122.877234
4343,363379,6705,124A ST,,,49.124858,-122.877679
4344,363380,6438,124 ST,,,49.119935,-122.878802
4345,363384,6746,124A ST,,,49.125587,-122.877232
4346,363387,12712,67A AVE,,,49.124992,-122.870248
4347,363388,6756,124A ST,,,49.125765,-122.877231
4348,363394,12673,67A AVE,,,49.125251,-122.871463
4349,363396,12202,67A AVE,,,49.125727,-122.885022
4350,363399,12769,67 AVE,,,49.124487,-122.869014
4351,363400,6786,124A ST,,,49.126297,-122.877225
4352,363403,6796,124A ST,,,49.126467,-122.877224
4353,363417,6758,126 ST,,,49.125373,-122.873215
4354,363419,12632,67A AVE,,,49.125006,-122.872553
4355,363426,12656,67A AVE,,,49.124996,-122.871898
4356,363428,12662,67A AVE,,,49.124996,-122.871688
4357,363430,12672,67A AVE,,,49.124996,-122.871464
4358,363432,12600,67A AVE,,,49.125005,-122.873427
4359,363440,12286,68 AVE,,,49.126521,-122.882464
4360,363441,12310,68 AVE,,,49.126518,-122.881922
4361,363454,12299,66 AVE,,,49.123137,-122.882041
4362,363455,12363,66 AVE,,,49.123111,-122.879941
4363,363456,12391,66 AVE,,,49.123095,-122.879290
4364,363459,12217,64A AVE,,,49.120328,-122.883981
4365,363463,12197,66 AVE,,,49.123138,-122.884959
4366,363464,6456,122 ST,,,49.120438,-122.884385
4367,363465,12302,68 AVE,,,49.126509,-122.882205
4368,363467,6478,122 ST,,,49.120862,-122.884333
4369,363469,6490,122 ST,,,49.121027,-122.884329
4370,363636,6642,HAMPTON BLVD E,,,49.123738,-122.871785
4371,338153,9934,120A ST,,,49.183117,-122.888542
4372,325204,10945,148 ST,,,49.201089,-122.812748
4373,325205,14624,109 AVE,,,49.200398,-122.816827
4374,325210,14763,109 AVE,,,49.200706,-122.813302
4375,325213,14676,109 AVE,,,49.200392,-122.815562
4376,325215,14686,109 AVE,,,49.200391,-122.815309
4377,325220,14663,109 AVE,,,49.200721,-122.815818
4378,325223,10926,146 ST,,,49.200918,-122.817095
4379,325224,10995,146 ST,,,49.202141,-122.817532
4380,325238,14617,111 AVE,,,49.204571,-122.817850
4381,325239,11140,147A ST,,,49.205024,-122.814186
4382,325247,14766,111A AVE,,,49.205068,-122.813512
4383,325252,11075,147A ST,,,49.203773,-122.814552
4384,325254,11078,146A ST,,,49.203914,-122.816667
4385,325256,11143,148 ST,,,49.205029,-122.812817
4386,325263,14656,111 AVE,,,49.204303,-122.816559
4387,325283,14740,110A AVE,,,49.203104,-122.814201
4388,325287,14724,111A AVE,,,49.205065,-122.814919
4389,325292,11059,146A ST,,,49.203529,-122.817111
4390,325293,14733,110 AVE,,,49.202598,-122.814429
4391,325302,14677,111 AVE,,,49.204575,-122.815976
4392,325314,14540,110 AVE,,,49.202279,-122.819234
4393,325315,10882,145A ST,,,49.200205,-122.818477
4394,325324,10840,144A ST,,,49.199484,-122.821249
4395,325327,10862,145A ST,,,49.199839,-122.818482
4396,325339,10832,145A ST,,,49.199290,-122.818491
4397,325359,14564,110 AVE,,,49.202278,-122.818416
4398,325364,10875,144A ST,,,49.200142,-122.821734
4399,325370,10945,144A ST,,,49.201457,-122.821714
4400,325374,14440,110 AVE,,,49.202283,-122.821731
4401,325379,10847,145A ST,,,49.199634,-122.819077
4402,325381,14549,108 AVE,,,49.198944,-122.818915
4403,325382,10894,145 ST,,,49.200361,-122.819918
4404,325383,14524,109 AVE,,,49.200443,-122.819552
4405,325401,10974,144 ST,,,49.202033,-122.822367
4406,325407,10550,144 ST,,,49.194229,-122.822797
4407,361861,13027,68 AVE,,,49.126648,-122.861658
4408,361865,13079,68 AVE,,,49.126623,-122.860141
4409,361875,6844,KILBURN PL,,,49.127307,-122.863348
4410,361876,6856,KILBURN PL,,,49.127472,-122.863344
4411,361883,6825,KILBURN PL,,,49.126987,-122.863857
4412,361891,6886,HELSTON CR,,,49.127995,-122.864813
4413,361894,12940,HELSTON CR,,,49.128337,-122.863996
4414,361897,12976,HELSTON CR,,,49.128321,-122.862989
4415,361900,6968,130 ST,,,49.129516,-122.861987
4416,361906,6973,131 ST,,,49.129543,-122.859694
4417,361910,7004,131 ST,,,49.130049,-122.859205
4418,361914,13151,69A AVE,,,49.129474,-122.858375
4419,361920,13165,69A AVE,,,49.129465,-122.857841
4420,361926,13186,69A AVE,,,49.129166,-122.857217
4421,361936,13188,70B AVE,,,49.131085,-122.857091
4422,361937,13176,70B AVE,,,49.131076,-122.857569
4423,361943,13134,70B AVE,,,49.131094,-122.858673
4424,361945,7050,131 ST,,,49.130900,-122.859211
4425,361946,7038,131 ST,,,49.130730,-122.859210
4426,361947,7025,131 ST,,,49.130460,-122.859642
4427,361954,12909,HELSTON CR,,,49.128677,-122.864864
4428,361986,6928,128 ST,,,49.128968,-122.867528
4429,361988,6902,128 ST,,,49.128445,-122.867553
4430,361991,12841,69 AVE,,,49.128661,-122.866615
4431,361994,7074,132 ST,,,49.131463,-122.856472
4432,362002,13405,71 AVE,,,49.131845,-122.850722
4433,362003,7092,134 ST,,,49.131558,-122.850906
4434,362007,13469,68 AVE,,,49.126445,-122.849176
4435,362011,6822,134 ST,,,49.126774,-122.850910
4436,362017,7136,134 ST,,,49.132389,-122.850914
4437,362023,13226,70B AVE,,,49.131061,-122.856106
4438,362024,13429,68 AVE,,,49.126469,-122.850305
4439,362026,13236,70B AVE,,,49.131057,-122.855835
4440,362030,13242,70B AVE,,,49.131055,-122.855497
4441,362036,13524,70A AVE,,,49.130152,-122.847829
4442,362037,7107,134A ST,,,49.131876,-122.849914
4443,362038,13510,70A AVE,,,49.130155,-122.848079
4444,362039,13430,68A AVE,,,49.127017,-122.850298
4445,362045,6817,135A ST,,,49.126584,-122.847296
4446,362046,13551,70A AVE,,,49.130464,-122.847070
4447,362049,13466,68A AVE,,,49.127016,-122.849217
4448,362057,6848,135 ST,,,49.127082,-122.848091
4449,362059,6828,135 ST,,,49.126744,-122.848101
4450,362068,13479,68 AVE,,,49.126452,-122.848880
4451,362203,6705,121A ST,,,49.124910,-122.886250
4452,362204,6713,121A ST,,,49.125032,-122.886319
4453,362205,6726,121A ST,,,49.125155,-122.886043
4454,362206,6716,121A ST,,,49.125114,-122.885864
4455,362207,6708,121A ST,,,49.125025,-122.885779
4456,362208,6702,121A ST,,,49.124874,-122.885855
4457,362209,12150,68 AVE,,,49.126541,-122.886342
4458,362211,6781,121A ST,,,49.126240,-122.886277
4459,362212,6773,121A ST,,,49.126106,-122.886266
4460,364273,12331,75 AVE,,,49.139461,-122.881112
4461,350138,2257,128 ST,,,49.043386,-122.867629
4462,350255,12787,20 AVE,,,49.038677,-122.867807
4463,350257,12503,23 AVE,,,49.044298,-122.875417
4464,350260,2153,128 ST,,,49.041501,-122.867670
4465,350261,12773,23 AVE,,,49.044194,-122.868029
4466,350262,12775,23 AVE,,,49.044195,-122.867947
4467,350272,1951,128 ST,,,49.037619,-122.867745
4468,350279,12652,20 AVE,,,49.038417,-122.871562
4469,350325,1752,OCEAN PARK RD,,,49.033981,-122.874278
4470,350328,1819,127A ST,,,49.035116,-122.869222
4471,350355,1689,127 ST,,,49.032762,-122.870580
4472,350367,1788,127A ST,,,49.034387,-122.868614
4473,350377,1704,OCEAN PARK RD,,,49.033226,-122.873125
4474,350388,12730,18 AVE,,,49.034615,-122.869482
4475,350407,1877,128 ST,,,49.036228,-122.867766
4476,350409,1845,128 ST,,,49.035735,-122.867769
4477,350454,12726,17 AVE,,,49.032882,-122.869755
4478,350482,12786,26 AVE,,,49.049547,-122.867933
4479,350500,2620,124B ST,,,49.050106,-122.876166
4480,350520,12745,25A AVE,,,49.049067,-122.868951
4481,350546,2663,128 ST,,,49.050901,-122.867607
4482,350547,12610,25 AVE,,,49.047957,-122.872800
4483,350611,2755,127 ST,,,49.052370,-122.870232
4484,337558,12740,101B AVE,,,49.186986,-122.870223
4485,337570,12460,102 AVE,,,49.187984,-122.877139
4486,337594,10049,127B ST,,,49.185355,-122.868995
4487,337597,10046,PARK (124A ST) DR,,,49.185286,-122.874733
4488,337598,10153,PARK (124A ST) DR,,,49.186823,-122.876230
4489,337611,10032,PARK (124A ST) DR,,,49.185023,-122.874405
4490,337612,12464,PARK (101B AVE) DR,,,49.186991,-122.876898
4491,337618,12454,PARK (101B AVE) DR,,,49.186953,-122.877258
4492,337625,10016,127A ST,,,49.184666,-122.869747
4493,337650,10107,127B ST,,,49.186440,-122.869001
4494,337651,10097,127B ST,,,49.186259,-122.868999
4495,337655,10110,127B ST,,,49.186603,-122.868684
4496,337656,10115,128 ST,,,49.186589,-122.867902
4497,337659,10138,127A ST,,,49.187046,-122.869691
4498,337668,10305,124A ST,,,49.190281,-122.876968
4499,337672,10165,128 ST,,,49.187826,-122.867942
4500,337674,10143,128 ST,,,49.187281,-122.867937
4501,337679,10235,127A ST,,,49.188847,-122.870148
4502,337680,10215,127A ST,,,49.188518,-122.870154
4503,337684,10065,128 ST,,,49.185669,-122.867910
4504,337686,10380,127A ST,,,49.191473,-122.869692
4505,337697,12390,104 AVE,,,49.191614,-122.878681
4506,337698,10376,124A ST,,,49.191368,-122.876526
4507,337705,10235,124 ST,,,49.188740,-122.878417
4508,337707,12398,104 AVE,,,49.191606,-122.878421
4509,337713,10266,124 ST,,,49.189401,-122.877978
4510,337722,10256,127 ST,,,49.189129,-122.871082
4511,337723,10256,124 ST,,,49.189218,-122.877985
4512,337745,10291,124 ST,,,49.189779,-122.878374
4513,337750,10326,125A ST,,,49.190423,-122.873802
4514,337751,10332,125 ST,,,49.190451,-122.875182
4515,337763,10317,124 ST,,,49.190175,-122.878355
4516,337788,10217,125A ST,,,49.188461,-122.874304
4517,337791,10227,126 ST,,,49.188621,-122.872917
4518,337810,10247,125 ST,,,49.189020,-122.875670
4519,337819,10267,125 ST,,,49.189380,-122.875658
4520,337827,10377,125 ST,,,49.191357,-122.875591
4521,337833,10387,127A ST,,,49.191460,-122.870094
4522,337836,10391,125A ST,,,49.191518,-122.874212
4523,337840,10277,125A ST,,,49.189540,-122.874274
4524,337842,10375,127B ST,,,49.191293,-122.868751
4525,337846,10105,122 ST,,,49.186438,-122.884811
4526,337850,10102,121A ST,,,49.186351,-122.885875
4527,337851,12271,102 AVE,,,49.188297,-122.881811
4528,337852,12243,102A AVE,,,49.189106,-122.882864
4529,337856,12197,100 AVE,,,49.184563,-122.884405
4530,337857,10259,122 ST,,,49.189202,-122.884243
4531,337862,12386,104 AVE,,,49.191628,-122.878956
4532,337863,10097,122 ST,,,49.186291,-122.884249
4533,337864,10121,122 ST,,,49.186685,-122.884187
4534,337865,12219,102A AVE,,,49.189118,-122.883397
4535,337867,12017,100 AVE,,,49.184516,-122.889672
4536,337869,12090,101 AVE,,,49.186291,-122.887413
4537,337870,10105,121A ST,,,49.186393,-122.886152
4538,337876,10243,122 ST,,,49.189018,-122.884245
4539,337885,10031,122 ST,,,49.185059,-122.884189
4540,337890,10152,122 ST,,,49.187329,-122.883817
4541,337891,12367,103A AVE,,,49.190819,-122.879188
4542,337892,12235,102A AVE,,,49.189125,-122.883089
4543,337893,12025,100 AVE,,,49.184517,-122.889456
4544,337895,12063,100A AVE,,,49.185804,-122.888200
4545,337898,10036,123A ST,,,49.185174,-122.880670
4546,337900,10035,123A ST,,,49.185079,-122.881115
4547,337903,12232,102A AVE,,,49.188869,-122.883105
4548,337909,10231,123A ST,,,49.188690,-122.881135
4549,360488,14317,70A AVE,,,49.131082,-122.825801
4550,360492,14249,68 AVE,,,49.126329,-122.827510
4551,360493,7008,143 ST,,,49.130107,-122.825900
4552,360496,14274,70A AVE,,,49.130799,-122.826750
4553,360497,7016,143 ST,,,49.130285,-122.825888
4554,360501,7022,143 ST,,,49.130440,-122.825879
4555,360502,14058,72 AVE,,,49.133484,-122.832811
4556,360504,14260,70A AVE,,,49.130795,-122.827237
4557,360505,14310,70A AVE,,,49.130791,-122.825834
4558,360507,6977,144 ST,,,49.129667,-122.823566
