,COMMENTS,DATE_CONSTRUCTED,DISASTER_RESPONSE_ROUTE,FACILITYID,GREENWAY,LIFECYCLE_COST,LOCATION,MAJOR_ROAD_NETWORK,MATERIAL,NO_LANE,OWNER,PAVING_DATE,RD_CLASS,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STREETSWEEPING_ROUTE,TRUCK_ROUTE,YTD_COST
1102,,,None,1000983020,,,,No,Asphalt,2,Surrey,,Collector,Road,172 St,24,50,Open,,,
1103,,,None,1000983061,,,,No,Asphalt,2,Surrey,,Local,Road,99A Ave,,50,Open,,,
1104,,,None,1000983071,,,,No,Asphalt,2,Surrey,,Local,Road,141A St,,50,Open,,,
1105,,,None,1000983095,,,,No,Asphalt,2,Surrey,,Local,Road,Rosemary Heights Dr,,50,Open,,,
1106,,,None,1000983099,,,,No,Asphalt,2,Surrey,,Local,Road,Comber Way,,50,Open,,,
1107,,,None,1000983165,,,,No,Asphalt,2,Surrey,,Local,Road,131 St,,50,Open,,,
1108,,,None,1000983166,,,,No,Asphalt,2,Surrey,,Local,Road,164A St,,50,Open,,,
1109,,,None,1000980237,,,,No,Asphalt,2,Surrey,,Local,Road,84A Ave,,50,Open,,,
1110,,,None,1000980247,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1111,,,None,1000980249,,,,No,Asphalt,2,Surrey,,Local,Road,127 St,,50,Open,,,
1112,,,None,1000980268,,,,No,Asphalt,2,Surrey,,Local,Road,123 St,,50,Open,,,
1113,,,None,1000980284,No,,,No,Asphalt,2,Surrey,,Collector,Road,68 Ave,24,50,Open,,,
1114,,,None,1000980396,,,,No,Asphalt,2,Surrey,,Local,Road,170A St,,50,Open,,,
1115,,,None,1000980400,,,,No,Asphalt,2,Surrey,,Local,Road,101A Ave,,50,Open,,,
1116,,,None,1000980441,,,,No,Asphalt,2,Surrey,,Local,Road,59 Ave,,50,Open,,,
1117,,,None,1000980483,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1118,,,None,1000980535,,,,No,Asphalt,2,Surrey,,Local,Road,Semiahmoo Rd,,50,Open,,,
1119,,,None,1000973641,,,,No,Asphalt,2,Surrey,,Local,Road,179 St,,50,Open,,No Heavy Truck Routes,
1120,,,None,1000973666,,,,No,Asphalt,2,Surrey,,Local,Road,142A St,,50,Open,,,
1121,,,None,1000973672,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,96 Ave,30,50,Open,TRANSLINK - T2 CURBS,Truck Routes,
1122,,,None,1000973789,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1123,,20061030,None,1000973792,,,,No,Asphalt,2,Surrey,,Arterial,Road,108 Ave,30,50,Open,,,
1124,,,None,1000973820,,,,No,Asphalt,2,Surrey,,Collector,Road,103A Ave,24,50,Open,NORTH BRIDGEVIEW,Truck Routes,
1125,,,None,1000973854,,,,No,Asphalt,2,Surrey,,Local,Road,138A St,20,50,Open,,,
1126,,,None,1000973864,,,,No,Asphalt,2,Surrey,,Local,Road,Lark Pl,,50,Open,,,
1127,,,None,1000973868,,,,No,Asphalt,2,Surrey,,Local,Road,153A St,,50,Open,,,
1128,,,None,1000973949,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1129,,,None,1000973982,,,,No,Asphalt,2,Surrey,,Local,Road,Goodrich Pl,,50,Open,,,
1130,,,None,1000973987,,,,No,Asphalt,2,Surrey,,Local,Road,150 St,,50,Open,,,
1131,,,None,1000973990,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1132,,,None,1000984509,,,,No,Asphalt,2,Surrey,,Local,Road,Old Mclellan Rd,,50,Open,,,
1133,,,None,1000984519,,,,No,Asphalt,2,Surrey,,Local,Road,Cherryhill Cl,,50,Open,,,
1134,,,None,1000984553,,,,No,Asphalt,2,Surrey,,Local,Road,67 Ave,,50,Open,,,
1135,,,None,1000984564,,,,No,Asphalt,2,Surrey,,Local,Road,75A Ave,,50,Open,,,
1136,,,None,1000982872,,,,No,Asphalt,2,Surrey,,Local,Road,14A Ave,,50,Open,,,
1137,,,None,1000982915,,,,No,Asphalt,2,Surrey,,Local,Road,78A Ave,,50,Open,,,
1138,,,None,1000982984,,,,No,Asphalt,2,Surrey,,Local,Road,145A St,,50,Open,,,
1139,,20061030,None,1000983076,,,,No,Asphalt,2,Surrey,,Arterial,Road,168 St,30,60,Open,,,
1140,,,None,1000983108,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1141,,,None,1000983121,,,,No,Asphalt,2,Surrey,,Arterial,Road,84 Ave,30,50,Open,,,
1142,,,None,1000983198,,,,No,Asphalt,2,Surrey,,Local,Road,Bothwell Dr,,50,Open,,,
1143,,,None,1000983236,,,,No,Asphalt,2,Surrey,,Arterial,Road,160 St,30,60,Open,,Truck Routes,
1144,,,None,1000981576,,,,No,Asphalt,2,Surrey,,Local,Road,84A Ave,,50,Open,,,
1145,,,None,1000981626,,,,No,Asphalt,2,Surrey,,Local,Road,146 St,,50,Open,,,
1146,,20061030,None,1000981646,,,,No,Asphalt,2,Surrey,,Arterial,Road,24 Ave,24,50,Open,,,
1147,,,None,1000981665,,,,No,Asphalt,2,Surrey,,Local,Road,125 St,,50,Open,,,
1148,,,None,1000981669,,,,No,Asphalt,2,Surrey,,Local,Road,171A St,,50,Open,,,
1149,,,None,1000981720,,,,No,Asphalt,2,Surrey,,Local,Road,Northglen Cl,,50,Open,,,
1150,,,None,1000981733,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1151,,,None,1000981762,,,,No,Asphalt,2,Surrey,,Local,Road,72A Ave,,30,Open,,,
1152,,,None,1000981774,,,,No,Asphalt,2,Surrey,,Local,Road,134A St,,50,Open,,,
1153,,,None,1000981797,,,,No,Asphalt,2,Surrey,,Local,Road,156A St,,50,Open,,,
1154,,,None,1000981807,,,,No,Asphalt,2,Surrey,,Local,Road,157 St,,50,Open,,,
1155,,,None,1000973563,,,,No,Asphalt,2,Surrey,,Local,Road,20A Ave,,50,Open,,,
1156,,,None,1000973590,,,,No,Asphalt,2,Surrey,,Local,Road,190 St,,50,Open,,,
1157,,,None,1000973602,,,,No,Asphalt,2,Surrey,,Collector,Road,Barnston Dr E,24,50,Open,,,
1158,,,None,1000973616,,,,No,Asphalt,2,Surrey,,Collector,Road,180 St,24,50,Open,,,
1159,,,None,1000973620,,,,No,Asphalt,2,Surrey,,Local,Road,163A St,,50,Open,,,
1160,,,None,1000983875,,,,No,Asphalt,2,Surrey,,Collector,Road,108 Ave,24,50,Open,,No Heavy Truck Routes,
1161,,,None,1000983906,,,,No,Asphalt,2,Surrey,,Local,Road,182 St,,50,Open,,,
1162,,,None,1000983920,,,,No,Asphalt,2,Surrey,,Collector,Road,32 Ave,24,50,Open,,,
1163,,,None,1000984011,,,,No,Asphalt,2,Surrey,,Arterial,Road,140 St,30,50,Open,,Truck Routes,
1164,,,None,1000984035,,,,No,Asphalt,2,Surrey,,Local,Road,Swallow Dr,,50,Open,,,
1165,,,None,1000984066,,,,No,Asphalt,2,Surrey,,Collector,Road,115 Ave,24,50,Open,,,
1166,,,None,1000984094,,,,Yes,Asphalt,4,Provincial,,Provincial Highway,Road,No 1 Hwy,,90,Open,,Dangerous Goods Routes,
1167,,,None,1000984141,,,,No,Asphalt,2,Surrey,,Local,Road,Bradford Pl,,50,Open,,,
1168,,,None,1000984144,,,,No,Asphalt,2,Surrey,,Local,Road,150 St,,50,Open,,,
1169,,,None,1000984171,,,,No,Asphalt,2,Surrey,,Local,Road,87A Ave,,50,Open,,,
1170,,,None,1000984226,,,,No,Asphalt,2,Surrey,,Local,Road,95 Ave,,50,Open,,,
1171,,,None,1000984333,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1172,,,None,1000984341,,,,No,Asphalt,2,Surrey,,Collector,Road,159 St,24,50,Open,,,
1173,,,None,1000984445,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1174,,,None,1000984484,,,,No,Asphalt,2,Surrey,,Arterial,Road,Harvie Rd,30,50,Open,,No Heavy Truck Routes,
1175,,,None,1000984366,,,,No,Asphalt,2,Surrey,,Arterial,Road,132 St,30,60,Open,,No Heavy Truck Routes,
1176,,,None,1000984387,,,,No,Asphalt,2,Surrey,,Arterial,Road,132 St,30,60,Open,,No Heavy Truck Routes,
1177,,,None,1000984400,,,,No,Asphalt,2,Surrey,,Local,Road,57 Ave,,50,Open,,,
1178,,,None,1000984407,,,,No,Asphalt,2,Surrey,,Local,Road,80A Ave,,50,Open,,,
1179,,,None,1000984433,,,,Yes,Asphalt,4,Provincial,,Provincial Highway,Road,No 99 Hwy,,100,Open,,Dangerous Goods Routes,
1180,,,None,1000984513,,,,No,Asphalt,2,Surrey,,Local,Road,141A St,,50,Open,,,
1181,,,None,1000984563,,,,No,Asphalt,2,Surrey,,Local,Road,146 St,,50,Open,,,
1182,,,None,1000984610,,,,No,Asphalt,2,Surrey,,Local,Road,102 Ave,,50,Open,,,
1183,,,None,1000984615,,,,No,Asphalt,2,Surrey,,Local,Road,139 St,20,50,Open,,,
1184,,,None,1000984620,,,,No,Asphalt,2,Surrey,,Local,Road,90 Ave,,50,Open,,No Heavy Truck Routes,
1185,,,None,1000984635,,,,No,Asphalt,2,Surrey,,Local,Road,95 Ave,,50,Open,,,
1186,,,None,1000984637,,,,No,Asphalt,2,Surrey,,Local,Road,Hummingbird Pl,,50,Open,,,
1187,,,None,1000984670,,,,No,Asphalt,2,Surrey,,Local,Road,99 Ave,,50,Open,,,
1188,,,None,1000984698,,,,No,Asphalt,2,Surrey,,Local,Road,95A Ave,,50,Open,,,
1189,,,None,1000984761,,,,No,Asphalt,2,Surrey,,Local,Road,22 Ave,,50,Open,,,
1190,,,None,1000984812,,,,No,Asphalt,2,Surrey,,Local,Road,12B Ave,,50,Open,,,
1191,,20030612,None,1000984831,,,,No,Asphalt,2,Surrey,,Local,Road,144A St,,50,Open,,No Heavy Truck Routes,
1192,,,None,1000984925,,,,No,Asphalt,2,Surrey,,Local,Road,155A St,,50,Open,,,
1193,,,None,1000984940,,,,No,Asphalt,2,Surrey,,Local,Road,78A Ave,,50,Open,,,
1194,,,None,1000984947,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1195,,,None,1000984614,,,,No,Asphalt,2,Surrey,,Collector,Road,20 Ave,24,50,Open,,,
1196,,,None,1000984653,,,,No,Asphalt,2,Surrey,,Local,Road,142 St,,50,Open,,,
1197,,20061030,None,1000984677,,,,No,Asphalt,2,Surrey,,Local,Road,173 St,,50,Open,,,
1198,,,None,1000984720,,,,No,Asphalt,2,Surrey,,Local,Road,126 St,,50,Open,,,
1199,,,None,1000984721,,,,No,Asphalt,2,Surrey,,Arterial,Road,184 St,30,50,Open,,,
1200,,,None,1000984765,,,,No,Asphalt,2,Surrey,,Local,Road,158 St,,50,Open,,,
1201,,20040126,None,1000984784,,,,No,Asphalt,2,Surrey,,Local,Road,61B Ave,,50,Open,,,
1202,,,None,1000984811,,,,No,Asphalt,2,Surrey,,Local,Road,Cinnamon Dr,,50,Open,,,
1203,,,None,1000984859,,,,No,Asphalt,2,Surrey,,Local,Road,64A Ave,,50,Open,,,
1204,,,None,1000985019,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1205,,,None,1000985065,,,,No,Asphalt,2,Private,,Local,Road,Plywood Rd,,50,Open,,,
1206,,,None,1000985066,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1207,,,None,1000985093,,,,No,Asphalt,2,Surrey,,Local,Road,98A Ave,,50,Open,,,
1208,,,None,1000985133,,,,No,Asphalt,2,Surrey,,Local,Road,161 St,,50,Open,,,
1209,,,None,1000982163,,,,No,Asphalt,2,Surrey,,Arterial,Road,24 Ave,24,50,Open,,,
1210,,,None,1000982195,,,,No,Asphalt,2,Surrey,,Local,Road,147 St,,50,Open,,,
1211,,,None,1000982304,,,,No,Asphalt,2,Surrey,,Local,Road,70 Ave,,50,Open,,,
1212,,20030612,None,1000982374,,,,No,Asphalt,2,Surrey,,Local,Road,160 St,,50,Open,,,
1213,,,None,1000981904,,,,No,Asphalt,2,Surrey,,Collector,Road,126 St,24,50,Open,,,
1214,,,None,1000981932,,,,No,Asphalt,2,Surrey,,Local,Road,126A St,,50,Open,,,
1215,,,None,1000981952,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1216,,,None,1000982015,,,,No,Asphalt,2,Surrey,,Local,Road,Southpark Cr,,50,Open,,,
1217,,20061030,None,1000982063,,,,No,Asphalt,2,Surrey,,Arterial,Road,Crescent Rd,27,50,Open,,,
1218,,,None,1000982116,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1219,,,None,1000982119,,,,No,Asphalt,2,Surrey,,Local,Road,157 St,,50,Open,,,
1220,,,None,1000982128,,,,No,Asphalt,2,Surrey,,Local,Road,141A St,,50,Open,,,
1221,,,None,1000978670,,,,No,Asphalt,2,Surrey,,Local,Road,165A St,,50,Open,,,
1222,,,None,1000978727,,,,No,Asphalt,2,Surrey,,Local,Road,170 St,,50,Open,,,
1223,,,None,1000978814,,,,No,Asphalt,2,Surrey,,Local,Road,111A Ave,,50,Open,,,
1224,,,None,1000978848,,,,No,Asphalt,2,Surrey,,Local,Road,Morgan Creek Way,,50,Open,,,
1225,,,None,1000978975,,,,No,Asphalt,2,Surrey,,Local,Road,62A Ave,,50,Open,,,
1226,,,None,1000979020,,,,No,Asphalt,2,Surrey,,Local,Road,Sunrise Cr W,,50,Open,,,
1227,,,None,1000979039,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1228,,,None,1000979040,,,,No,Grass,1,Surrey,,Local,Access Lane,,,,Open,,,
1229,,,None,1000979147,,,,No,Asphalt,2,Surrey,,Local,Road,22A Ave,,50,Open,,,
1230,,,None,1000979222,,,,No,Asphalt,2,Surrey,,Local,Road,61A Ave,,50,Open,,,
1231,,,None,1000984562,,,,No,Asphalt,2,Surrey,,Local,Road,146 St,,50,Open,,,
1232,,,None,1000984618,,,,No,Asphalt,2,Surrey,,Local,Road,12A Ave,,50,Open,,,
1233,,20061030,None,1000984641,,,,No,Asphalt,2,Surrey,,Local,Road,153A St,,50,Open,,,
1234,,,None,1000984663,,,,No,Asphalt,2,Surrey,,Collector,Road,63 Ave,24,50,Open,,,
1235,,,None,1000979331,,,,No,Asphalt,2,Surrey,,Collector,Road,188 St,24,50,Open,,,
1236,,20061030,Secondary,1000979423,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,152 St,42,60,Open,TRANSLINK - T7/T8 CURBS,Truck Routes,
1237,,,None,1000979455,,,,No,Asphalt,2,Surrey,,Local,Road,139 St,20,50,Open,,,
1238,,,None,1000979480,,,,No,Asphalt,2,Surrey,,Local,Road,158 St,,50,Open,,,
1239,,,None,1000979547,,,,No,Asphalt,2,Surrey,,Local,Road,86A Ave,,50,Open,,,
1240,,,None,1000979628,,,,No,Asphalt,2,Surrey,,Local,Road,161A St,,50,Open,,,
1241,,,None,1000979665,,,,No,Asphalt,2,Surrey,,Local,Road,182B St,,50,Open,,,
1242,,,None,1000979684,,,,No,Asphalt,2,Surrey,,Local,Road,21 Ave,,50,Open,,,
1243,,,None,1000979690,,,,No,Asphalt,2,Surrey,,Local,Road,Jersey Dr,,50,Open,,,
1244,,,None,1000979692,,,,No,Asphalt,2,Surrey,,Local,Road,78 Ave,,50,Open,,,
1245,,,Secondary,1000979746,,,,Yes,Asphalt,2,Surrey,,Arterial,Road,King George Blvd,48,70,Open,TRANSLINK - T3 CURBS,Dangerous Goods Routes,
1246,,,None,1000979765,,,,No,Asphalt,2,Surrey,,Local,Road,164 St,,50,Open,,,
1247,,,None,1000979772,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1248,,,None,1000979804,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1249,,,Primary,1000982174,,,,Yes,Asphalt,4,Provincial,,Provincial Highway,Road,Highway 10 (56 Ave),,50,Open,,Dangerous Goods Routes,
1250,,,None,1000982189,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1251,,,None,1000982219,,,,No,Asphalt,2,Surrey,,Local,Road,Killarney Pl,,50,Open,,,
1252,,,None,1000982262,,,,No,Asphalt,2,Surrey,,Local,Road,100A Ave,,50,Open,,,
1253,,,None,1000982273,,,,No,Asphalt,2,Surrey,,Collector,Road,137 St,24,50,Open,,,
1254,,20030612,None,1000982282,,,,No,Asphalt,2,Surrey,,Local,Road,175B St,,50,Open,,,
1255,,,None,1000982286,,,,No,Asphalt,2,Surrey,,Local,Road,123 St,,50,Open,,,
1256,,,None,1000982287,,,,No,Asphalt,2,Surrey,,Local,Road,Buchanan Pl,,50,Open,,,
1257,,,None,1000982305,,,,No,Asphalt,2,Surrey,,Arterial,Road,132 St,30,60,Open,,Truck Routes,
1258,,,None,1000982440,,,,No,Asphalt,2,Surrey,,Local,Road,Upland Rd,,50,Open,,,
1259,,,None,1000982462,,,,No,Asphalt,2,Surrey,,Local,Road,164 St,,50,Open,,,
1260,,20061030,None,1000982490,,,,No,Asphalt,2,Surrey,,Local,Road,140B St,,50,Open,,,
1261,,,None,1000982497,,,,No,Asphalt,2,Surrey,,Local,Road,135 St,,50,Open,,,
1262,,,None,1000982503,,,,No,Asphalt,2,Surrey,,Local,Road,Harbourgreene Dr,,50,Open,,,
1263,,,None,1000982538,,,,No,Asphalt,2,Surrey,,Local,Road,179A St,,50,Open,,,
1264,,,None,1000982608,,,,No,Asphalt,2,Surrey,,Local,Road,104A Ave,,50,Open,,,
1265,,,None,1000982651,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1266,,,None,1000982697,,,,No,Asphalt,2,Surrey,,Local,Road,60B Ave,,50,Open,,,
1267,,,None,1000982406,,,,No,Asphalt,2,Surrey,,Collector,Road,157A St,27,50,Open,,,
1268,,,None,1000982488,,,,No,Asphalt,2,Surrey,,Local,Road,Tunis Pl,,50,Open,,,
1269,,,None,1000982537,,,,No,Asphalt,2,Surrey,,Local,Road,65A Ave,,50,Open,,,
1270,,,None,1000982539,,,,No,Asphalt,2,Surrey,,Local,Road,70A Ave,,50,Open,,,
1271,,,None,1000982555,,,,No,Asphalt,2,Surrey,,Local,Road,149 St,,50,Open,,,
1272,,,None,1000982624,,,,No,Asphalt,2,Surrey,,Local,Road,101 Ave,20,50,Open,,,
1273,,,None,1000982750,,,,No,Asphalt,2,Surrey,,Local,Road,76A Ave,,50,Open,,,
1274,,,None,1000982818,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1275,,,None,1000982821,,,,No,Asphalt,2,Surrey,,Local,Road,Linton Way,,50,Open,,,
1276,,,None,1000982875,,,,No,Asphalt,2,Surrey,,Local,Road,83 Ave,,50,Open,,,
1277,,,None,1000982876,,,,No,Asphalt,2,Surrey,,Local,Road,124B St,,50,Open,,,
1278,,,None,1000982924,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,96 Ave,30,60,Open,TRANSLINK - T9 CURBS,Truck Routes,
1279,,,None,1000979428,,,,No,Asphalt,2,Surrey,,Arterial,Road,32 Ave,30,60,Open,,Truck Routes,
1280,,,None,1000979441,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1281,,,None,1000979465,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1282,,,None,1000979483,,,,No,Asphalt,2,Surrey,,Local,Road,65 Ave,,50,Open,,,
1283,,,None,1000979500,,,,No,Asphalt,5,Surrey,,Arterial,Road,University Dr,27,50,Open,CITY CENTRE - CONTRACT CURBS,,
1284,,,None,1000979297,,,,No,Asphalt,2,Surrey,,Collector,Road,Country Woods Dr,24,50,Open,,,
1285,,,None,1000979363,,,,No,Asphalt,2,Surrey,,Arterial,Road,168 St,30,60,Open,,,
1286,,,None,1000979383,No,,,No,Asphalt,2,Surrey,,Collector,Road,138 St,24,50,Open,,,
1287,,,None,1000979393,,,,No,Asphalt,2,Surrey,,Local,Road,80B Ave,,50,Open,,,
1288,,,None,1000979414,,,,No,Asphalt,2,Surrey,,Local,Road,151 St,,50,Open,,,
1289,,,Primary,1000979454,,,,Yes,Asphalt,4,Provincial,,Provincial Highway,Road,Hwy 15,,70,Open,,Dangerous Goods Routes,
1290,,,None,1000979489,,,,No,Asphalt,2,Surrey,,Collector,Road,154 St,24,50,Open,,,
1291,,,None,1000973213,,,,No,Asphalt,2,Surrey,,Local,Road,22 Ave,,50,Open,,,
1292,,,None,1000973361,,,,No,Asphalt,2,Surrey,,Local,Road,100 Ave,20,60,Open,,No Heavy Truck Routes,
1293,,,None,1000973366,,,,No,Asphalt,2,Surrey,,Local,Road,157 St,,50,Open,,,
1294,,,None,1000973384,,,,No,Asphalt,2,Surrey,,Local,Road,57 Ave,,50,Open,,,
1295,,,None,1000973504,,,,No,Asphalt,2,Surrey,,Local,Road,127B St,,50,Open,,,
1296,,,None,1000973508,,,,No,Asphalt,2,Surrey,,Local,Road,85 Ave,,50,Open,,,
1297,,20040227,None,1000973539,,,,No,Asphalt,2,Surrey,,Collector,Road,58 Ave,24,50,Open,,,
1298,,20061030,None,1000973552,,,,No,Asphalt,2,Surrey,,Arterial,Road,160 St,30,60,Open,,Truck Routes,
1299,,,Primary,1000973557,,,,Yes,Asphalt,4,Provincial,,Provincial Highway,Road,Highway 15,,60,Open,,Dangerous Goods Routes,
1300,,,None,1000973589,,,,No,Asphalt,2,Surrey,,Collector,Road,154 St,24,50,Open,,,
1301,,,None,1000973632,,,,No,Asphalt,2,Surrey,,Local,Road,146 St,,50,Open,,,
1302,Truck Route restricted to vehicles less than 3.2 m wide,,None,1000973659,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,108 Ave,30,60,Open,TRANSLINK - T5 CURBS,Truck Routes with Restrictions,
1303,,,None,1000979847,,,,No,Asphalt,2,Surrey,,Local,Road,98A Ave,,50,Open,,,
1304,,,None,1000979867,,,,No,Asphalt,2,Surrey,,Local,Road,131 St,,50,Open,,,
1305,,,None,1000979897,,,,No,Asphalt,2,Surrey,,Local,Road,166 St,,50,Open,,,
1306,,,None,1000979932,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1307,,,None,1000977236,,,,No,Asphalt,2,Surrey,,Local,Road,91A Ave,,50,Open,,,
1308,,,None,1000977322,,,,No,Asphalt,2,Surrey,,Local,Road,137A St,,50,Open,,,
1309,,,None,1000977332,,,,No,Asphalt,2,Surrey,,Local,Road,149 St,,50,Open,,,
1310,,,None,1000977385,,,,No,Asphalt,2,Surrey,,Local,Road,65A Ave,,50,Open,,,
1311,,,None,1000977396,,,,No,Asphalt,2,Surrey,,Local,Road,61A Ave,,50,Open,,,
1312,,,None,1000977463,,,,No,Asphalt,2,Surrey,,Local,Road,158 St,,50,Open,,,
1313,,,None,1000977472,,,,No,Asphalt,2,Surrey,,Local,Road,138A St,20,50,Open,,,
1314,,,None,1000977490,,,,No,Asphalt,2,Surrey,,Local,Road,158 St,,50,Open,,,
1315,,,None,1000977491,,,,No,Asphalt,2,Surrey,,Collector,Road,20 Ave,24,50,Open,,,
1316,,,None,1000977520,,,,No,Asphalt,2,Surrey,,Local,Road,178A St,,50,Open,,,
1317,,,None,1000977708,,,,No,Asphalt,2,Surrey,,Local,Road,59A Ave,,50,Open,,,
1318,,,None,1000977764,,,,No,Asphalt,2,Surrey,,Local,Road,142 St,,50,Open,,,
1319,,,None,1000977765,,,,No,Asphalt,2,Surrey,,Local,Road,76 Ave,,50,Open,,,
1320,,,None,1000977771,,,,No,Asphalt,2,Surrey,,Local,Road,101 Ave,,50,Open,,,
1321,,,None,1000977782,,,,No,Asphalt,2,Surrey,,Local,Road,132A St,,50,Open,,,
1322,,,None,1000977825,,,,No,Asphalt,2,Surrey,,Local,Road,109 Ave,,50,Open,,,
1323,,,None,1000979679,,,,No,Asphalt,2,Surrey,,Local,Road,129 St,,50,Open,,,
1324,,,None,1000979682,,,,No,Asphalt,2,Surrey,,Arterial,Road,Marine Dr,24,50,Open,,,
1325,,20030612,None,1000979715,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1326,,,None,1000979717,,,,No,Asphalt,2,Surrey,,Local,Road,62 Ave,,50,Open,,,
1327,,,None,1000979735,,,,No,Asphalt,2,Surrey,,Local,Road,165 St,,50,Open,,,
1328,,20030612,None,1000979743,,,,No,Asphalt,2,Surrey,,Collector,Road,130 St,24,50,Open,,,
1329,,,None,1000979788,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,96 Ave,30,60,Open,TRANSLINK - T9 CURBS,Truck Routes,
1330,,,None,1000979829,,,,No,Asphalt,2,Surrey,,Local,Road,135A St,20,50,Open,,,
1331,,,None,1000979842,,,,No,Asphalt,2,Surrey,,Local,Road,26B Ave,,50,Open,,,
1332,,,None,1000979878,,,,No,Asphalt,2,Surrey,,Collector,Road,124 St,24,50,Open,,,
1333,,,None,1000979923,,,,No,Asphalt,2,Surrey,,Local,Road,178 St,,50,Open,,,
1334,,,None,1000979945,,,,No,Asphalt,2,Surrey,,Collector,Road,124 St,24,50,Open,,,
1335,,,None,1000979963,,,,No,Asphalt,2,Surrey,,Local,Road,37A Ave,,50,Open,,,
1336,,,None,1000979968,,,,No,Asphalt,2,Surrey,,Local,Road,157A St,,50,Open,,,
1337,,,None,1000980003,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1338,,,None,1000980054,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1339,,,None,1000980148,,,,No,Asphalt,2,Surrey,,Local,Road,111A Ave,,50,Open,,,
1340,,,None,1000980171,,,,No,Asphalt,2,Surrey,,Arterial,Road,168 St,30,50,Open,,,
1341,,,None,1000980192,,,,No,Asphalt,2,Surrey,,Local,Road,105A Ave,,50,Open,,,
1342,,,None,1000980227,,,,No,Asphalt,2,Surrey,,Local,Road,55A Ave,,50,Open,,No Heavy Truck Routes,
1343,,,None,1000979518,,,,No,Asphalt,2,Surrey,,Collector,Road,188 St,24,50,Open,,,
1344,,,None,1000979596,,,,No,Asphalt,2,Surrey,,Local,Road,163 St,,50,Open,,,
1345,,,None,1000979683,,,,No,Asphalt,2,Surrey,,Local,Road,133A St,,50,Open,,,
1346,,,None,1000979700,,,,No,Asphalt,2,Surrey,,Arterial,Road,108 Ave,30,50,Open,,,
1347,,,None,1000979760,,,,No,Asphalt,2,Surrey,,Local,Road,122A St,,50,Open,,,
1348,,20061030,None,1000979805,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
1349,,,None,1000979824,,,,No,Asphalt,2,Surrey,,Local,Road,Prince Charles Blvd,,50,Open,,,
1350,,,None,1000979837,,,,No,Asphalt,2,Surrey,,Local,Road,163A St,,50,Open,,,
1351,,20061030,None,1000979849,,,,No,Asphalt,2,Surrey,,Local,Road,126B St,,50,Open,,,
1352,,,None,1000979872,,,,No,Asphalt,4,Surrey,,Arterial,Road,University Dr,27,50,Open,CITY CENTRE - CONTRACT CURBS,,
1353,,,None,1000979908,,,,No,Asphalt,2,Surrey,,Local,Road,164 St,,50,Open,,,
1354,,,None,1000979961,,,,No,Asphalt,2,Surrey,,Collector,Road,188 St,24,50,Open,,,
1355,,,None,1000979998,,,,No,Asphalt,2,Surrey,,Local,Road,112A Ave,,50,Open,,,
1356,,,None,1000974098,,,,No,Asphalt,2,Surrey,,Local,Road,127 St,,50,Open,,,
1357,,20030612,None,1000974100,,,,No,Asphalt,2,Surrey,,Local,Road,130 St,,50,Open,,,
