,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,HABITAT,LEGACYID,LENGTH,LOCATION,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,USE_LEVEL,WIDTH,YR
493,,,,,(lbob new) Sanctioned,Recreation,,,"T115 Trail (Yellow Arum Trail); Green Timbers Urban Forest Park, 14698 96 Ave",,1001484493,,,,,,"North of 101 Ave, west of 145 St",Parks,Dirt,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T115,Nature Trail,In Service,No,,1,2009
494,,,,,(lbob new) ,,,,"T94 Trail; Green Timbers Urban Forest Park, 14698 96 Ave",,1001484501,,,,,,from T2 to T72 along edge of picnic area,Parks,Gravel,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T94,Universal Access,In Service,No,,3,2009
495,,,,,(lbob new) East half of trail is not as wide as west end,,,,"T35 Trail (Pine Trail); Green Timbers Urban Forest Park, 14698 96 Ave",,1001484502,,,,,,From T2 to T51,Parks,Gravel,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T35,Universal Access,In Service,No,,2.4,2009
496,,,,,(lbob new) ,Recreation,,,"T3 Trail; Charles Richardson Nature Reserve, 8444 168 St",,1001484510,,,,,,Running north - south through park,Parks,Gravel,"Charles Richardson Nature Reserve, 8444 168 St",Park,Parks,Parks,Surrey,,,B2,,,,T3,Nature Trail,In Service,No,,1.6,2009
497,,,,,(lbob new) ,,,,"P3 Path; Hazelnut Meadows Community Park, 14069 68 Ave",,1001486058,,,,,,from 70 Ave to 140 St,Parks,Limestone,"Hazelnut Meadows Community Park, 14069 68 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
498,,,,,(lbob new) ,,,,"P6 Path; Hawthorne Park, 10503 - 144 St",,1001486066,,,,,,from P5 in gardens area to P7,Parks,Asphalt,"Hawthorne Park, 10503 144 St",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,,2009
499,,,,,(lbob new) ,,,,"P2 Path; Wade Park, 7081 189 St",,1001486070,,,,,,from corner of 71 Ave & 189 St and to sides of si*,Parks,Asphalt,"Wade Park, 7081 189 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
500,,,,,(lbob new) ,,,,"P13 Path; Holland Park, 13428 Old Yale Road",,1001486074,,,,,,"from P1 to P11, east of central plaza, outermost *",Parks,Gravel,"Holland Park, 13428 Old Yale Road",Park,Parks,Parks,Surrey,,,,,,,P13,General Access and Recreation,In Service,No,,,2009
501,,,,,(lbob new) ,,,,"P4 Path; Senator Reid Park - 71H, 6115 - 136 St",,1001485465,,,,,,From 60A Ave Entrance To 136 St Entrance,Parks,Asphalt,"Senator Reid Park, 6115 136 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
502,,,,,(lbob new) ,,,,"P2 Path;  City Hall Grounds, 14245 56 Ave",,1001485467,,,,,,Throughout waterwise garden,Parks,Limestone,"City Hall Grounds, 14245 56 Ave",Land,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
503,,,,,(lbob new) ,,,,"P2 Path; Holland Park, 13428 Old Yale Road",,1001486027,,,,,,from P1 thru central plaza to P10,Parks,Concrete,"Holland Park, 13428 Old Yale Road",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
504,,,,,(lbob new) ,,,,"P10 Path; Holland Park, 13428 Old Yale Road",,1001486035,,,,,,from P5 to P11 to P11 to P1,Parks,Asphalt,"Holland Park, 13428 Old Yale Road",Park,Parks,Parks,Surrey,,,,,,,P10,General Access and Recreation,In Service,No,,,2009
505,,,,,(lbob new) ,,,,"P2 Path; 62H - Greenbelt, 14120 - Hyland Rd",,1001486052,,,,,,At 67 Ave Entrance,Parks,Other,"62H - Greenbelt, 14120 Hyland Rd",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,2,2009
506,,,,,(lbob new) ,,,,"P1 Path; Pickard Park, 18880 69 Ave",,1001486062,,,,,,along south and west sides,Parks,Concrete,"Pickard Park, 18880 69 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
507,,,,,(lbob new) ,,,,"P1 Path; Kilkee Drive Park, 5804 Kilkee Dr",,1001486071,,,,,,from Kilkee Dr to 59 ave,Parks,Asphalt,"Kilkee Drive Park, 5804 Kilkee Dr",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
508,,,,,(lbob new) ,,,,"P1 Path; Cougar Creek Park, 6889 - 123 St",,1001486072,,,,,,throughout site (including across bridges under n*,Parks,Asphalt,"Cougar Creek Park, 6889 123 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
509,,,,,(lbob new) ,,,,"P14 Path; Holland Park, 13428 Old Yale Road",,1001486075,,,,,,"from P1 to P11, east of central plaza, 2nd outerm*",Parks,Gravel,"Holland Park, 13428 Old Yale Road",Park,Parks,Parks,Surrey,,,,,,,P14,General Access and Recreation,In Service,No,,,2009
510,,,,,(lbob new) ,,,,"P8 Path;  Chantrell Park, 2254 Chantrell Park Dr",,1001486082,,,,,,from 136 St (south) entrance to P5,Parks,Gravel,"Chantrell Park, 2254 Chantrell Park Dr",Park,Parks,Parks,Surrey,,,,,,,P8,General Access and Recreation,In Service,No,,,2009
511,,,,,(lbob new) ,,,,"T3 Trail; Ridgeview Park, 10900 164A St",,1001485143,,,,,,From 164A St to 165 St,Parks,Limestone,"Ridgeview Park, 10900 164A St",Park,Parks,Parks,Surrey,,,B1,,,,T3,General Access and Recreation,In Service,No,,2,2009
512,,,,,(lbob new) ,Recreation,,,"T2 Trail; Crescent Park, 2585 132 St",,1001485156,,,,,,from T32 to T9,Parks,,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T2,Nature Trail,In Service,No,,,2009
513,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T14 Trail; South Surrey Bike Park, 2200 148 St",,1001485160,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T14,Off Road Bike Recreation Trail,In Service,No,,,2009
514,,,,,(lbob new) ,,,,"P4 Path; Elgin Heritage Park, 13723 - Crescent Rd",,1001485180,,,,,,from parking lot to washroom entrances,Parks,Limestone,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
515,,,,,(lbob new) ,,,,"P1 Path; Erma Stephenson Park, 15920 110 Ave",,1001485720,,,,,,throughout park,Parks,Asphalt,"Erma Stephenson Park, 15920 110 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
516,,,,,(lbob new) ,,,,"P1 Path; Amelia Adams Park, 8546 - 121A St",,1001485731,,,,,,From 121A St entrance to 122 St entrance,Parks,Asphalt,"Amelia Adams Park, 8546 121A St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
517,,,,,(lbob new) ,,,,"P11 Path; South Surrey Athletic Park, 1925 - 148 St",,1001485736,,,,,,from 18a Ave to sportsfield,Parks,Limestone,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P11,General Access and Recreation,In Service,No,,,2009
518,,,,,(lbob new) ,,,,"P1 Path; Cloverdale Ball Park, 17383 61A Ave",,1001485744,,,,,,from N end of parking lot to ball diamonds and 62*,Parks,Asphalt,"Cloverdale Ball Park, 17383 61A Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
519,,,,,(lbob new) Exottic plants along edges in areas,Recreation,,,"T2 Trail; Darts Hill Garden Park, 1660 168 St",,1001485105,,,,,,North of T1,Parks,Gravel,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,Surrey,,,A,,,,T2,Nature Trail,In Service,No,,1.5,2009
520,,,,,(lbob new) ,Recreation,,,"T1 Trail; Cedar Hills Park, 12761 97A Ave",,1001485109,,,,,,from 97a Ave to 98 Ave,Parks,Limestone,"Cedar Hills Park, 12761 97A Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,,2009
521,,,,,(lbob new) ,,,,"P1 Path; 4F - Community Park, 11265 156 St",,1001485935,,,,,,from entrance 154a St to T1,Parks,Concrete,"4F - Community Park, 11265 156 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
522,,,,,(lbob new) ,,,,"T32 Trail; Joe Brown Park, 5381 125A St",,1001485950,,,,,,Connects T31 to T33,Parks,Dirt,"Joe Brown Park, 5381 125A St",Park,Parks,Parks,Surrey,,,B2,,,,T32,Equestrian Trail,In Service,No,,0.8,2009
523,,,,,(lbob new) ,,,,"P2 Path; Sunrise Ridge Park, 18725 58 Ave",,1001485964,,,,,,from E entrance off 58 Ave to forest edge,Parks,Limestone,"Sunrise Ridge Park, 18725 58 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
524,,,,,(lbob new) ,,,,"P3 Path; Royal Kwantlen Park, 13035 - 104 Ave",,1001485967,,,,,,access to and around perimeter of pool,Parks,Asphalt,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
525,,,,,(lbob new) ,,,,"P3 Path; 75D - Greenbelt, 16551 Old McLellan Rd",,1001485660,,,,,,from 16288 58a Ave entrance to meadow area,Parks,Asphalt,"75D - Greenbelt, 16551 Old McLellan Rd",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
526,,,,,(lbob new) ,,,,"P1 Path; Shannon Park, 7312 192a St",,1001485668,,,,,,from SW corner to E side,Parks,Asphalt,"Shannon Park, 7312 192a St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
527,,,,,(lbob new) ,,,,"P4 Path; Shannon Park, 7312 192a St",,1001485671,,,,,,from P2 to P3,Parks,Asphalt,"Shannon Park, 7312 192a St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
528,,,,,(lbob new) ,Recreation,,,"T1 Trail (Semiahmoo Greenway); Semiahmoo Trail - 113B, 2570 149 St",,1001485685,,,,,,From 24 Avenorth to 28 Ave,Parks,Gravel,"Semiahmoo Trail - 113B, 2570 149 St",Park,Parks,Parks,Surrey,,,A,,,,T1,Nature Trail,In Service,No,,1.8,2009
529,,,,,(lbob new) ,,,,"T1 Trail;  Strawberry Hill Park, 7676 122 St",,1001485693,,,,,,Short trail running East - west through forest,Parks,Gravel,"Strawberry Hill Park, 7676 122 St",Park,Parks,Parks,Surrey,,,B2,,,,T1,General Access and Recreation,In Service,No,,2.7,2009
530,,,,,(lbob new) ,,,,"P9 Path; Maple Green Park, 8959 - 150 St",,1001484715,,,,,,from 88 Ave entrance to P4,Parks,Concrete,"Maple Green Park, 8959 150 St",Park,Parks,Parks,Surrey,,,,,,,P9,General Access and Recreation,In Service,No,,,2009
531,,,,,(lbob new) Vehicle barriers at both ends,Recreation,,,"T2 Trail; East View Trail, 7648 125 St",,1001486087,,,,,,From T1 to UTILLITY ROW in east,Parks,Gravel,"East View Trail, 7648 125 St",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,1.8,2009
532,,,,,(lbob new) ,,,,"P10 Path; 34A - Utility ROW, 15472 - 95A Ave",,1001484719,,,,,,from P2 to Green Timbers Greenway to P2,Parks,Asphalt,"34A - Utility ROW, 15472 95A Ave",Park,Parks,Parks,Surrey,,,,,,,P10,General Access and Recreation,In Service,No,,,2009
533,,,,,(lbob new) Vehicle barrier at street entrance,Recreation,,,"T2 Trail; Hemlock Park, 9353 160 St",,1001486091,,,,,,From T1 to 93A Ave and 158 St corner,Parks,Gravel,"Hemlock Park, 9353 160 St",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,1.8,2009
534,,,,,(lbob new) ,Recreation,,,"T1 Trail;  Woodland Park, 9095 158 St",,1001486092,,,,,,Northeast corner of forest on 158 St to playing f*,Parks,Gravel,"Woodland Park, 9095 158 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.8,2009
535,,,,,(lbob new) ,,,,"P3 Path; Dominion Park, 8225 - 134 St",,1001484723,,,,,,from 82b Ave entrance to P1,Parks,Concrete,"Dominion Park, 8225 134 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
536,,,,,(lbob new) ,,,,"P4 Path; 67I - Greenbelt, 6502 Claytonhill Grove",,1001486099,,,,,,from Claytonwood Gate to passive grass area,Parks,Concrete,"Clayton Hill Park, 18221 Claytonhill Dr",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,2,2009
537,,,,,(lbob new) ,,,,"P8 Path; Maple Green Park, 8959 - 150 St",,1001484714,,,,,,from 149 St to P1 near forest edge,Parks,Asphalt,"Maple Green Park, 8959 150 St",Park,Parks,Parks,Surrey,,,,,,,P8,General Access and Recreation,In Service,No,,,2009
538,,,,,(lbob new) Vehicle barriers at both entrances,Recreation,,,"T1 Trail; Hemlock Park, 9353 160 St",,1001486089,,,,,,From 160 St to corner of 93A Ave and 159 St,Parks,Gravel,"Hemlock Park, 9353 160 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.8,2009
539,,,,,(lbob new) ,,,,"P24 Path; Bear Creek Park, 13750 - 88 Ave",,1001486121,,,,,,throughout playground/waterplayground area,Parks,Asphalt,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P24,General Access and Recreation,In Service,No,,,2009
540,,,,,(lbob new) Needs minor surveillance area work along sections of trail,Recreation,,,"T1 Trail; Northview Park, 11149 156 St",,1001485587,,,,,,from south side of forest to north side of forest,Parks,Gravel,"Northview Park, 11149 156 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,,2009
541,,,,,(lbob new) ,,,,"T2 Trail; Hawthorne Park, 10503 144 St",,1001485590,,,,,,From 142a St to north parking lot on 144 St,Parks,Gravel,"Hawthorne Park, 10503 144 St",Park,Parks,Parks,Surrey,,,A,,,,T2,Vehicle Access,In Service,No,,,2009
542,,,,,(lbob new) ,,,,"P2 Path;  Rosemary Wynde, 3701 155 St",,1001485606,,,,,,from 155 St to P1,Parks,Asphalt,"Rosemary Wynde, 3701 155 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
543,,,,,(lbob new) ,,,,"T2 Trail; Mud Bay Park, 13030 48 Ave",,1001485637,,,,,,western loop out to beach from T1,Parks,Gravel,"Mud Bay Park, 13030 48 Ave",Park,Parks,Parks,Surrey,,,A,,,,T2,Vehicle Access,In Service,No,,3,2009
544,,,,,(lbob new) ,,,,"P3 Path; Cloverdale Athletic Park, 6330 - 168 St",,1001485645,,,,,,from 171 St to P2,Parks,Concrete,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
545,,,,,(lbob new) ,,,,"T1 Trail; 75D - Greenbelt, 16551 Old McLellan Rd",,1001485658,,,,,,from east edge of site to west edge of site,Parks,Gravel,"75D - Greenbelt, 16551 Old McLellan Rd",Park,Parks,Parks,Surrey,,,B2,,,,T1,General Access and Recreation,In Service,No,,,2009
546,,,,,(lbob new) ,,,,"P2 Path; 32B - Utility ROW, 9409 - 140 St",,1001484783,,,,,,from 139a St to Green Timbers Greenway,Parks,Asphalt,"32B - Utility ROW, 9409 140 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
547,,,,,(lbob new) ,,,,"P8 Path; Fleetwood Park, 15802 - 80 Ave",,1001484817,,,,,,from 160 St to P7,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P8,General Access and Recreation,In Service,No,,,2009
548,,,,,(lbob new) ,,,,"P1 Path; Nichol Estates Park, 7415 144 St",,1001484848,,,,,,from 73a Ave along forest edge to W side of park,Parks,Asphalt,"Nichol Estates Park, 7415 144 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
549,,,,,(lbob new) ,,,,"P8 Path; Chimney Hill Park, 7411 - 150A St",,1001484852,,,,,,from 149a St to forest edge,Parks,Concrete,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Parks,Surrey,,,,,,,P8,General Access and Recreation,In Service,No,,,2009
550,,,,,(lbob new) ,Recreation,,,"T2 Trail; Bog Park - 21D, 9740 130 St",,1001485194,,,,,,east loop off T1,Parks,Gravel,"Bog Park - 21D, 9740 130 St",Park,Parks,Parks,Surrey,,,B2,,,,T2,Nature Trail,In Service,No,,1.5,2009
551,,,,,(lbob new) ,Recreation,,,"T1 Trail; Buchamer Park, 2601 139a St",,1001485197,,,,,,from P1 to 27 Ave,Parks,Limestone,"Buchamer Park, 2601 139a St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.5,2009
552,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T45 Trail; South Surrey Bike Park, 2200 148 St",,1001485209,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T45,Off Road Bike Recreation Trail,In Service,No,,,2009
553,,,,,(lbob new) ,,,,"T1 Trail; 1001 Steps - Greenbelt, 12590 15A Ave",,1001485213,,,,,,stairway from top of bluff to bottom,Parks,Dirt,"1001 Steps - Greenbelt, 12590 15A Ave",Park,Parks,Parks,Surrey,,,A,,,,T1,General Access and Recreation,In Service,No,,,2009
554,,,,,(lbob new) ,,,,"P3 Path; Chimney Hill Park - 53A, 15070 - 76 Ave",,1001485222,,,,,,from 73b Ave to P2,Parks,Asphalt,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
555,,,,,(lbob new) ,,,,"P2 Path; Coast Meridian Park, 8225 170 St",,1001484763,,,,,,from 83 Ave to P1,Parks,Concrete,"Coast Meridian Park, 8225 170 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
556,,,,,(lbob new) ,,,,"P3 Path; Frost Road Park, 8607 - 164 St",,1001484769,,,,,,from 86b Ave entrance to P1,Parks,Concrete,"Frost Road Park, 8607 164 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
557,,,,,(lbob new) ,Recreation,,,"T3 Trail; 63A - Neighbourhood Park, 14929 67 Ave",,1001485331,,,,,,from 67a Ave to T1,Parks,Gravel,"63A - Neighbourhood Park, 14929 67 Ave",Park,Parks,Parks,Surrey,,,B2,,,,T3,Nature Trail,In Service,No,,,2009
558,,,,,"(lbob new) Not a defined trail, it is main route used by park users",Nature Trail,,,"T4 Trail; Latimer Park, 2786 192 St",,1001484704,,,,,,"From 28 Ave main entrance, south to lake",Parks,Dirt,"Latimer Park, 2786 192 St",Park,Parks,Parks,Surrey,,,C,,,,T4,Nature Trail,In Service,No,,1.8,2009
559,,,,,(lbob new) ,Nature Trail,,,"P1 Trail; Meridian Park, 2271 149A St",,1001484706,,,,,,from southeast corner entrance to south side,Parks,Limestone,"Meridian Park, 2271 149A St",Park,Parks,Parks,Surrey,,,C,,,,P1,General Access and Recreation,In Service,No,,,2009
560,,,,,(lbob new) Sanctioned (Moss Trail),Nature Trail,,,"T118 Trail (Moss Trail); Green Timbers Urban Forest Park, 14698 96 Ave",,1001484794,,,,,,Loop west of Salmonberry Trail (south of 101 Ave,Parks,Dirt,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,C,,,,T118,Nature Trail,In Service,No,,1,2009
561,,,,,(lbob new) ,Nature Trail,,,"T1 Trail; Mound Farm Park, 5288 168 St",,1001484801,,,,,,From northwest corner of meadow north of big barn*,Parks,Limestone,"Mound Farm Park, 5288 168 St",Park,Parks,Parks,Surrey,,,C,,,,T1,Nature Trail,In Service,No,,2,2009
562,,,,,(lbob new) ,,,,"P1 Path; Frost Road Park, 8607 - 164 St",,1001484802,,,,,,from P3 to 164 St and around playground,Parks,Asphalt,"Frost Road Park, 8607 164 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
563,,,,,(lbob new) ,,,,"P7 Path; Fleetwood Park, 15802 - 80 Ave",,1001484816,,,,,,through treed area off 160 St to P5,Parks,Limestone,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
564,,,,,(lbob new) ,,,,"P1 Path; August Drive Park, 8715 August Dr",,1001484830,,,,,,From August Dr. Entrance To 87A Ave Ent.,Parks,Asphalt,"August Drive Park, 8715 August Dr",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
565,,,,,(lbob new) ,Recreation,,,"T1 Trail; 131B - Greenbelt, 13391 14A Ave",,1001484681,,,,,,14A Ave. to walkway in the west,Parks,Gravel,"131B - Greenbelt, 13391 14A Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.5,2009
566,,,,,,,,,"P1 Path; 12H - Utility ROW, 10550 140 St",,1001605311,,,,,,from 106 Ave to 140B St,Parks,,12H - Utility ROW,Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,,,,2013
567,,,,,(lbob new) ,Recreation,,,"T1 Trail; Maple Green Park, 8959 150 St",,1001485192,,,,,,From 90 Ave in northwest to T2 at middle west (ac*,Parks,Gravel,"Maple Green Park, 8959 150 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,2,2009
568,,,,,(lbob new) Encroachment on trail of blackberry,Recreation,,,"T2 Trail;  Royal Heights Park, 9780 Crown Cres",,1001485196,,,,,,from Princess Dr to T1,Parks,Mulch,"Royal Heights Park, 9780 Crown Cres",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,1.1,2009
569,,,,,(lbob new) ,,,,"P2 Path; Crescent Park School Grounds, 2440 128 St",,1001485687,,,,,,from parking lot along S side of tennis courts,Parks,Asphalt,"Crescent Park School Grounds, 2440 128 St",Land,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
570,,,,,(lbob new) ,,,,"P1 Path; 41B - Utility ROW, 8630 - 132 St",,1001485726,,,,,,Tulsey Pl entrance,Parks,Concrete,"41B - Utility ROW, 8630 132 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
571,,,,,(lbob new) ,,,,"P10 Path; Bear Creek Park, 13750 - 88 Ave",,1001486294,,,,,,from parking lot east of pavilion to oval,Parks,Asphalt,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P10,Vehicle Access,In Service,No,,,2009
572,,,,,(lbob new) ,,,,"P17 Path; Bear Creek Park, 13750 - 88 Ave",,1001486297,,,,,,from P16 to forest edge,Parks,Asphalt,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P17,Vehicle Access,In Service,No,,,2009
573,,,,,(lbob new) ,,,,"P4 Path; Royal Kwantlen Park, 13035 - 104 Ave",,1001485968,,,,,,from Old Yale Rd parking lot to skate park and T2,Parks,Asphalt,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
574,,,,,(lbob new) ,,,,"T1 Trail; Rosemary Heights Park, 3514 154 St",,1001485981,,,,,,from Rosemary Hts Dr to laneway,Parks,Gravel,"Rosemary Heights Park, 15333 34 Ave",Park,Parks,Parks,Surrey,,,B2,,,,T1,General Access and Recreation,In Service,No,,,2009
575,,,Off-Street Multi-Use Pathway,,,Multi-use,Surrey Lake Greenway,Greenway,,,1001402402,,,,,,,Parks,Gravel,"Surrey Lake, 7500 152 St",Land,Parks,Parks,Surrey,,,A,,,,T1,Multi-use Pathway,In Service,No,,8,2009
576,,,,,(lbob new) ,,,,"P3 Path; Maple Park, 14939 84 Ave",,1001484872,,,,,,from 84 Ave to P2,Parks,Asphalt,"Maple Park, 14939 84 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
577,,,,,(lbob new) ,,,,"P4 Path; Maple Park, 14939 84 Ave",,1001484873,,,,,,from 150a St to P2,Parks,Concrete,"Maple Park, 14939 84 Ave",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
578,,,,,(lbob new) ,,,,"P1 Path; Evergreen Tot-Lot - VIP Site, 15112 - 87B Ave",,1001484874,,,,,,Surrounding Playground,Parks,Asphalt,"Evergreen Tot-Lot - VIP Site, 15112 87B Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,1.5,2009
579,,,,,(lbob new) ,,,,"P1 Path; Elgin Heritage Park, 13723 - Crescent Rd",,1001485048,,,,,,throughout passive area around west parking lot,Parks,Limestone,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
580,,,,,(lbob new) ,,,,"P4 Path; Boundary Park, 6058 Boundary Dr West",,1001485052,,,,,,from 12087 Boundary Dr South entrance to grass ar*,Parks,Limestone,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
581,,,,,(lbob new) ,Recreation,,,"T1 Trail (Semiahmoo Greenway); Semiahmoo Trail - 103B, 3314 145 St",,1001485055,,,,,,from 34 Ave to 32 Ave,Parks,Gravel,"Semiahmoo Trail - 103B, 3314 145 St",Park,Parks,Parks,Surrey,,,A,,,,T1,Nature Trail,In Service,No,,1,2009
582,,,,,(lbob new) Bridge near weat end of trail,Recreation,,,"T15 Trail; Crescent Park, 2585 132 St",,1001485062,,,,,,From T14 going east along south side of pond,Parks,Gravel,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T15,Nature Trail,In Service,No,,2.2,2009
583,,,,,(lbob new) ,Recreation,,,"T1 Trail; Fun Fun Park, 1472 128 St",,1001484683,,,,,,128 St. to open area just south of playground,Parks,Limestone,"Fun Fun Park, 1472 128 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.7,2009
584,,,,,(lbob new) ,,,,"P2 Path; Charles Richardson Nature Reserve, 16934 88 Ave",,1001484691,,,,,,"from 87 Ave entrance to forest edge, then from fo*",Parks,Gravel,"Charles Richardson Nature Reserve, 16934 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
