,AMANDA_ROWID,DESCRIPTION,PROJECT_NO,STATUS,WEBLINK
465,3005,,89-0534-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0534
466,3006,,89-0535-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0535
467,3008,,89-0537-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0537
468,3010,,89-0539-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0539
469,3011,,89-0540-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0540
470,3012,,89-0541-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0541
471,3013,,89-0542-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0542
472,3014,,89-0543-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0543
473,3016,,89-0545-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0545
474,3017,,89-0546-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0546
475,3018,,89-0547-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0547
476,3019,,89-0548-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0548
477,3021,,89-0550-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0550
478,3022,,89-0551-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0551
479,3025,,89-0554-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0554
480,3026,,89-0555-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0555
481,3027,"Phase 0: 
Phase 1: ",89-0556-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0556
482,3029,,89-0558-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0558
483,3030,,89-0559-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0559
484,3031,"Phase 0: 
Phase 1: ",89-0560-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0560
485,3034,,89-0563-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0563
486,3035,,89-0564-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0564
487,3036,,89-0565-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0565
488,3037,,89-0566-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0566
489,3038,,89-0567-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0567
490,3039,,89-0568-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0568
491,3041,,89-0570-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0570
492,3042,,89-0571-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0571
493,3043,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: 
Phase 4: ",89-0572-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0572
494,3045,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: 
Phase 4: 
Phase 5: 
Phase 6: 
Phase 7: ",89-0574-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0574
495,3046,,89-0575-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0575
496,3047,,89-0576-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0576
497,3048,,89-0577-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0577
498,3049,"Phase 0: 
Phase 1: ",89-0578-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0578
499,3050,"Phase 0: 
Phase 1: 
Phase 2: ",89-0579-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0579
500,3051,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: ",89-0580-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0580
501,3052,,89-0581-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0581
502,3053,,89-0582-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0582
503,3056,,89-0585-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0585
504,3057,"Phase 0: 
Phase 1: 
Phase 2: ",89-0586-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0586
505,3058,,89-0587-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0587
506,3059,,89-0588-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0588
507,3061,,89-0590-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0590
508,3063,,89-0592-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0592
509,3064,,89-0593-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0593
510,3065,,89-0594-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0594
511,3066,,89-0595-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0595
512,3067,,89-0596-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0596
513,3068,,89-0597-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0597
514,3069,,89-0598-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0598
515,3073,,89-0602-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0602
516,3076,,89-0605-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0605
517,3077,,89-0606-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0606
518,3079,,89-0608-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0608
519,3082,,89-0611-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0611
520,3084,,89-0613-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0613
521,3085,,89-0614-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0614
522,3088,,89-0617-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0617
523,3090,,89-0619-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0619
524,3092,"Phase 0: 
Phase 1: Engineering Project
",89-0621-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0621
525,3093,,89-0622-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0622
526,3094,,89-0623-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0623
527,3095,,89-0624-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0624
528,3096,,89-0625-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0625
529,3097,"Phase 0: 
Phase 1: 
Phase 2: ",89-0626-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0626
530,3098,"Phase 0: 
Phase 1: ",89-0627-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0627
531,3099,,89-0628-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0628
532,3100,,89-0629-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0629
533,3101,,89-0630-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0630
534,3102,,89-0631-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0631
535,3103,,89-0632-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0632
536,3104,,89-0633-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0633
537,3105,,89-0634-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0634
538,3108,,89-0637-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0637
539,3109,,89-0638-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0638
540,3110,,89-0639-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0639
541,3111,,89-0640-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0640
542,3112,"Phase 0: 
Phase 1: ",89-0641-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0641
543,3113,,89-0642-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0642
544,3116,,89-0645-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0645
545,3117,,89-0646-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0646
546,3118,,89-0647-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0647
547,3119,,89-0648-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0648
548,3120,,89-0649-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0649
549,3121,,89-0650-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0650
550,3122,,89-0651-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0651
551,3124,,89-0653-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0653
552,3127,,89-0656-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0656
553,3128,,89-0657-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0657
554,3129,,89-0658-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0658
555,3131,,89-0660-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0660
556,3132,,89-0661-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0661
557,3133,,89-0662-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0662
558,3134,,89-0663-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0663
559,3135,"Phase 0: 
Phase 1: ",89-0664-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0664
560,3136,,89-0665-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0665
561,3137,,89-0666-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0666
562,3138,,89-0667-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0667
563,3139,,89-0668-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0668
564,3140,,89-0669-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0669
565,3141,,89-0670-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0670
566,3142,,89-0671-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0671
567,3143,,89-0672-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0672
568,3144,,89-0673-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0673
569,3146,,89-0675-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0675
570,3147,,89-0676-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0676
571,3148,,89-0677-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0677
572,3149,,89-0678-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0678
573,3150,,89-0679-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0679
574,3151,,89-0680-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0680
575,3153,,89-0682-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0682
576,3154,,89-0683-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0683
577,3155,,89-0684-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0684
578,3156,,89-0685-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0685
579,3157,,89-0686-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0686
580,3159,,89-0688-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0688
581,3160,,89-0689-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0689
582,3161,,89-0690-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0690
583,3162,,89-0691-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0691
584,3164,,89-0693-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0693
585,3165,,89-0694-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0694
586,3166,,89-0695-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0695
587,3167,,89-0696-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0696
588,3168,,89-0697-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0697
589,3169,,89-0698-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0698
590,3170,,89-0699-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0699
591,3171,,89-0700-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0700
592,3172,,89-0701-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0701
593,3173,,89-0702-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0702
594,3174,,89-0703-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0703
595,3175,,89-0704-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0704
596,3176,,89-0705-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0705
597,3177,,89-0706-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0706
598,3179,,90-0002-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0002
599,3180,,90-0003-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0003
600,3181,,90-0004-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0004
601,3182,,90-0005-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0005
602,3183,,90-0006-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0006
603,3184,,90-0007-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0007
604,3186,,90-0009-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0009
605,3187,,90-0010-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0010
606,3188,,90-0011-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0011
607,3189,,90-0012-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0012
608,3190,,90-0013-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0013
609,3191,,90-0014-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0014
610,3192,,90-0015-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0015
611,3194,,90-0017-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0017
612,3195,,90-0018-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0018
613,3196,,90-0019-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0019
614,3197,,90-0020-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0020
615,3198,,90-0021-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0021
616,3199,,90-0022-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0022
617,3200,,90-0023-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0023
618,3201,,90-0024-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0024
619,3202,"Phase 0: 
Phase 1: ",90-0025-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0025
620,3203,,90-0026-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0026
621,3204,,90-0027-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0027
622,3205,,90-0028-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0028
623,3206,,90-0029-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0029
624,3207,,90-0030-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0030
625,3208,,90-0031-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0031
626,3209,,90-0032-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0032
627,3210,,90-0033-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0033
628,3211,,90-0034-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0034
629,3212,,90-0035-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0035
630,3213,,90-0036-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0036
631,3214,,90-0037-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0037
632,3215,,90-0038-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0038
633,3217,,90-0040-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0040
634,3219,,90-0042-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0042
635,3220,,90-0043-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0043
636,3221,,90-0044-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0044
637,3222,,90-0045-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0045
638,3224,,90-0047-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0047
639,3226,,90-0049-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0049
640,3228,,90-0051-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0051
641,3229,,90-0052-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0052
642,3230,,90-0053-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0053
643,3231,,90-0054-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0054
644,3232,,90-0055-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0055
645,3233,,90-0056-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0056
646,3235,,90-0058-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0058
647,3236,,90-0059-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0059
648,3237,,90-0060-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0060
649,3239,,90-0062-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0062
650,3240,,90-0063-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0063
651,3242,,90-0065-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0065
652,3243,,90-0066-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0066
653,3244,,90-0067-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0067
654,3245,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: 
Phase 4: 
Phase 5: ",90-0068-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0068
655,3247,"Phase 0: 
Phase 1: ",90-0070-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0070
656,3248,,90-0071-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0071
657,3249,,90-0072-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0072
658,3254,,90-0077-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0077
659,3255,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: ",90-0078-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0078
660,3256,,90-0079-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0079
661,3257,,90-0080-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0080
662,3258,,90-0081-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0081
663,3262,"Phase 0: 
Phase 1: WORKS AND SERVICES & ADDITIONAL DCC'S",90-0085-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0085
664,3263,,90-0086-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0086
665,3265,,90-0088-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0088
666,3267,,90-0090-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0090
667,3268,,90-0091-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0091
668,3269,,90-0092-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0092
669,3270,,90-0093-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0093
670,3271,,90-0094-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0094
671,3272,,90-0095-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0095
672,3273,"Phase 0: 
Phase 1: ",90-0096-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0096
673,3274,,90-0097-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0097
674,3275,,90-0098-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0098
675,3276,,90-0099-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0099
676,3278,,90-0101-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0101
677,3279,"Phase 0: 
Phase 1: Engineering Project
",90-0102-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0102
678,3283,,90-0106-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0106
679,3285,,90-0108-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0108
680,3286,,90-0109-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0109
681,3287,,90-0110-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0110
682,3288,"REPLACED WITH FILES 96-0158-00/01, 96-0263-00, 96-0264-00, ADN 96-0312-00",90-0111-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0111
683,3289,,90-0112-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0112
684,3290,,90-0113-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0113
685,3291,,90-0114-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0114
686,3292,,90-0115-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0115
687,3293,,90-0116-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0116
688,3295,,90-0118-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0118
689,3296,,90-0119-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0119
690,3297,,90-0120-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0120
691,3298,,90-0121-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0121
692,3300,,90-0123-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0123
693,3301,,90-0124-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0124
694,3302,,90-0125-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0125
695,3303,,90-0126-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0126
696,3304,,90-0127-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0127
697,3305,,90-0128-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0128
698,3306,,90-0129-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0129
699,3307,,90-0130-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0130
700,3311,,90-0134-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0134
701,3312,,90-0135-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0135
702,3313,,90-0136-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0136
703,3314,,90-0137-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0137
704,3315,,90-0138-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0138
705,3317,,90-0140-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0140
706,3318,,90-0141-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0141
707,3319,,90-0142-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0142
708,3320,,90-0143-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0143
709,3321,,90-0144-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0144
710,3322,,90-0145-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0145
711,3323,,90-0146-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0146
712,3324,,90-0147-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0147
713,3325,,90-0148-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0148
714,3326,,90-0149-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0149
715,3327,,90-0150-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0150
716,3328,,90-0151-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=90&seq=0151
